location,price,beds,baths,house_size,land_size
7,36000000,4,3,3050,10.5
11,31000000,5,4,38000,7.5
22,10900000,2,2,865,11.95
4,120000000,6,4,3500,11
31,29000000,4,3,2800,8.33
12,55000000,4,3,3000,10
11,41000000,4,4,3750,17
9,26000000,5,4,3300,8.5
1,19000000,3,3,2400,10
23,11500000,3,1,900,8
9,8300000,2,1,1600,12
24,29500000,3,4,2600,6
17,23000000,4,4,2800,9
17,23000000,3,3,2400,10
17,11800000,3,3,1500,8
17,21000000,4,4,2450,7
11,20000000,5,3,2900,10.5
23,20000000,4,4,2680,4.5
22,8900000,3,2,1450,10
22,24000000,5,4,3400,11.5
32,95000000,3,3,5000,12
12,147500000,5,3,2500,11.6
18,115000000,5,3,4012,43
31,120000000,5,4,3000,22
7,31500000,4,3,3150,6.5
7,17500000,6,3,2200,6.7
17,46000000,4,4,3500,11.8
10,25000000,2,2,800,6.5
11,38000000,3,3,5000,21.8
16,7285000,3,2,1072,6
16,18000000,3,3,2650,8
7,34000000,4,3,3500,6.3
36,9000000,2,1,1100,6
22,16500000,5,2,2524,8.5
9,31000000,4,5,4000,10
1,19500000,5,3,3200,11.5
11,32500000,4,4,3200,10
1,25000000,4,2,2500,14
1,22000000,5,4,2900,9.8
18,30000000,5,4,3500,16
9,19000000,4,4,2400,8
18,50000000,6,5,3600,17.6
24,55000000,5,6,3750,12
8,6500000,3,1,1000,6
9,13500000,3,3,1650,10
24,34000000,2,2,1300,7.2
9,28000000,5,4,2500,16
36,27500000,5,2,2300,5
11,16500000,2,2,1000,6
17,25000000,4,3,2240,10
17,30000000,5,4,2600,10
25,14500000,5,2,3000,25.5
11,34000000,4,4,3300,8
17,21500000,4,3,2850,6
11,21500000,4,3,2200,6.5
1,24800000,4,4,2500,7
18,18000000,3,3,1800,10
8,12000000,3,3,2722.5,20
1,4800000,1,1,680,3.6
17,22500000,4,4,2800,8
24,16000000,2,1,1960,7.3
17,21000000,4,4,2450,7
17,24000000,4,4,2900,7
11,43000000,6,3,2500,20
17,18000000,4,4,2200,7
17,16000000,3,3,1600,10
24,46000000,4,4,2800,16
2,6350000,3,2,1400,5.7
18,24000000,4,4,2850,8
22,15000000,3,1,1300,11
8,22000000,4,3,1820,7.63
1,11500000,3,1,1200,7.5
17,26500000,5,3,2400,6.35
28,26000000,4,4,3600,10
31,5500000,2,1,850,4.5
4,28000000,4,4,1700,3.5
16,25000000,8,6,3000,18
11,18500000,4,2,1850,17
18,37000000,4,4,2900,10
35,65000000,7,7,5000,15
24,42500000,6,3,3000,5.9
11,53000000,5,4,4000,10.25
11,21000000,4,3,2650,11
8,8900000,3,2,1200,10
30,13500000,3,2,900,3
22,11500000,3,2,1300,7.5
22,8500000,3,2,1250,8
29,3600000,2,1,1200,10
34,20000000,5,4,4000,18
18,36000000,3,3,3000,9
33,18000000,5,3,2000,7.23
11,27500000,5,4,3500,10
1,13000000,3,3,1200,10
33,21000000,4,2,2000,7.3
22,12000000,1,1,1480,10.7
9,8500000,3,2,1320,10.4
25,8000000,2,1,1250,7.5
17,16000000,6,3,4500,12
17,30000000,4,4,2900,8
22,31500000,4,3,2150,8.7
18,16500000,3,4,2200,7.1
17,12800000,3,3,1300,7.9
2,21500000,3,2,1200,11
17,33000000,6,6,3900,12
1,9800000,3,2,1500,6
1,14200000,3,3,1580,10
9,19000000,4,4,2620,8
24,45000000,3,2,2000,9.6
18,7000000,2,1,1497,6
1,9800000,3,3,2100,7.5
9,19000000,4,4,2600,8.5
7,27500000,4,3,2550,8.5
9,18000000,4,4,2200,8
31,29000000,4,3,2800,8.33
24,135000000,6,5,5000,28.3
27,275000000,4,6,3120,13.5
24,12500000,2,1,1000,6.5
11,35000000,4,4,3150,8
17,19000000,3,3,2400,10
17,26000000,5,5,4000,8
18,18000000,3,3,1800,10
17,21000000,4,4,2450,7
17,20000000,4,4,2500,10
17,24000000,4,4,2900,7
17,22500000,4,4,2800,8
9,8300000,2,1,1600,12
22,13200000,3,3,1600,12
9,27000000,5,4,5480,12.8
17,16000000,3,3,1600,10
17,18000000,4,4,2200,7
17,26000000,5,4,3300,8.5
17,23000000,4,4,2800,9
18,14900000,2,2,1000,7
19,230000000,4,2,1890.4,19.5
22,17500000,4,4,2800,10
17,46000000,4,4,3500,11.8
18,45000000,5,5,3280,7.5
22,23500000,5,5,3400,9.5
31,39500000,5,4,3200,6.2
1,26000000,4,4,3800,10
23,29000000,4,4,2500,4
23,25000000,3,4,1500,4
33,85000000,7,6,5000,19
21,3800000,4,1,1200,12
22,18500000,4,4,2000,9
11,21500000,4,3,2850,6
9,6700000,1,2,11000,7
17,26000000,5,4,2850,8.5
8,12000000,4,3,1800,8.5
22,21000000,4,3,2200,7
17,22500000,4,4,2850,8
17,18800000,4,4,2250,6.5
28,12500000,3,2,1700,10
9,40230000,3,2,2600,27
28,26000000,3,2,2750,35
24,41000000,4,3,2000,6
22,13000000,3,2,1600,11.5
9,11450000,3,3,1340,9.3
16,27000000,4,2,2500,8.35
9,29500000,4,3,4500,11
17,21000000,4,4,2450,7
18,45000000,4,3,3500,10
1,20000000,4,3,2850,10.8
22,39500000,5,4,3500,13
22,47500000,4,3,2650,20
9,8700000,3,2,1340,9.5
16,55000000,5,4,4100,11.5
11,26500000,4,3,1800,6
25,7800000,2,1,1200,15
2,15900000,4,3,3900,11
24,47000000,5,4,4800,8
1,13800000,3,3,1750,10
7,31500000,5,3,3700,6.5
17,140000000,5,5,4800,52
11,25000000,4,4,2650,10
7,33000000,4,4,4200,13.5
22,10500000,3,2,900,4
24,40000000,6,3,2500,7
22,47500000,12,7,6500,13.5
9,11000000,3,2,2000,7
1,14200000,3,3,1650,10
11,22000000,6,3,3500,13.8
2,22750000,3,3,2600,7
17,20000000,4,4,2500,10
22,12800000,3,3,1350,7.67
7,38000000,7,5,6000,13
17,46000000,5,4,4500,11
6,2500000,2,1,900,10
12,300000000,5,5,7000,12
21,14000000,3,3,2000,8
25,17000000,5,2,2950,11.9
16,6800000,4,2,1200,6
9,18000000,2,2,2500,18.2
11,30000000,4,4,3000,10
