price,beds,baths,house_size,land_size
21000000,4,3,2100,8.8
52500000,5,4,4500,17.5
15500000,3,2,1700,10
16500000,3,2,2650,7.7
29000000,3,3,2100,7.2
29000000,4,3,2650,12
105000000,4,4,4600,37
16000000,4,2,3000,6.3
13000000,3,1,1800,10
8500000,4,2,2500,98
6000000,3,2,1650,9.64
14300000,2,1,1000,10
19600000,3,3,1900,6.5
11800000,3,3,1500,8
16000000,3,3,1600,10
21500000,4,3,2200,6.5
28000000,4,4,3680,10
56000000,4,2,2500,18.69
13500000,6,4,1500,9
24000000,4,4,2900,7
43000000,4,4,4100,11.6
21500000,4,3,2500,9
18000000,3,3,2300,6.5
11000000,3,3,1300,6.5
23000000,4,4,2800,9
21000000,4,4,2450,7
5500000,3,1,1500,20
30000000,5,4,3500,16
20000000,4,4,2500,10
50000000,4,4,4400,7
14500000,3,1,1200,16.3
47000000,5,4,4000,13.5
5500000,1,1,850,6.5
5500000,3,1,600,15
19500000,4,4,2650,10.5
50000000,6,5,3600,17.6
47500000,5,4,4800,10.25
9500000,3,1,1600,10
27500000,4,2,1200,8
40000000,5,3,2400,7.85
12500000,3,1,1200,6
23000000,4,3,2128,6
12500000,3,3,2000,8
46000000,4,4,3500,11.8
21000000,4,4,2450,7
12500000,3,3,2000,8
16500000,6,3,3000,12
10500000,2,1,1000,7.1
20000000,4,4,2500,10
22500000,4,4,2800,10
33000000,6,6,3900,12
21500000,4,3,2200,6.5
24000000,5,4,3600,11.5
21500000,5,3,3500,24
8800000,4,2,1300,8
17500000,5,4,2600,10.5
8000000,3,2,1000,6.8
36000000,4,4,3500,7.75
45000000,5,5,3150,7.5
26500000,4,3,2500,7.8
37000000,5,5,3750,9.4
72000000,3,3,4100,6
32000000,4,3,2500,8
29500000,3,3,2800,8.7
36000000,4,3,2500,8
75000000,4,4,2500,13.25
55000000,4,4,3500,13
32000000,4,3,3150,9.2
46000000,4,4,3200,16
10500000,3,2,1500,8.3
33500000,5,4,3800,7.8
21000000,4,4,2800,7.5
13000000,4,3,1600,11.5
21000000,4,3,2200,7
10000000,2,2,1240,6
11800000,3,2,1500,6.5
30000000,4,3,5000,12
95000000,6,5,4500,25
17000000,4,3,3000,16.25
42000000,5,3,3968,13.64
16900000,3,2,2700,28
13500000,4,3,1850,7
40000000,5,5,4300,12.5
35000000,4,4,3000,8.8
22000000,4,4,1130,8.3
60000000,5,5,3500,8.6
22000000,5,2,2723,10
45000000,4,4,4000,12
14000000,3,2,1288,8
16000000,3,3,2200,6.8
16500000,3,2,2200,7.1
8300000,2,1,1600,12
18000000,5,4,2880,7.8
15000000,3,1,2034,14.7
19000000,4,4,2400,8
15500000,4,2,1300,6.8
30000000,5,4,3500,16
14000000,3,1,1950,18.5
19000000,4,2,2000,14
4600000,2,1,1144,10
6300000,2,1,1000,6.9
30000000,4,2,2200,13
20000000,4,4,2500,8
18000000,3,2,2450,10
75000000,5,4,4850,21.5
6700000,3,1,1200,12
90000000,4,4,4200,40
6900000,2,1,1000,9.3
80000000,3,2,3000,20
42000000,5,3,2800,15
35000000,6,6,3800,12
21000000,4,3,1750,4
26000000,4,2,2700,13
130000000,5,4,6000,22.5
27500000,4,4,2000,8
7900000,3,2,1500,6
10000000,3,1,1500,10
29000000,4,3,2800,8.33
13800000,4,3,1880,6.8
12800000,3,3,1300,7.9
16200000,4,1,1800,13.5
24000000,4,4,2900,7
21000000,4,4,2450,7
18000000,4,4,2200,7
12500000,4,2,1750,6.5
46000000,4,4,3500,11.8
21000000,3,3,1300,17
18000000,3,3,2700,14
12500000,3,3,1650,8.5
16500000,3,2,2027,14.3
34000000,4,1,2000,60
59500000,7,5,5200,12.5
9975000,4,2,2200,11.23
32500000,4,4,3500,11
13000000,3,3,1500,10.7
22500000,4,4,2800,10
33000000,6,5,3900,12
16000000,3,3,1600,10
11000000,3,3,1300,6.5
23000000,4,4,2800,9
13500000,3,3,1650,10
105000000,5,5,6600,40
32500000,6,2,3000,15
30000000,4,2,2600,11
16000000,5,3,2000,11.5
7500000,3,2,1200,4.4
14000000,3,2,1288,8
18000000,2,2,1500,7
22000000,4,3,2850,8
18000000,4,2,2537,6.3
32000000,3,2,2000,6.1
26000000,4,2,2700,13
10000000,2,1,700,7.5
18500000,4,1,3000,18.44
30000000,3,3,2500,11
42000000,5,4,3455,12.25
7200000,3,2,2500,11.5
127500000,5,4,9000,18
39000000,5,5,4000,10
21500000,4,3,2850,6
8000000,2,2,1800,6
12500000,3,3,1200,7
22000000,4,2,1100,13
80000000,9,4,5000,20
18000000,4,4,2200,7
11000000,4,2,1638,6.8
25000000,5,3,2725,12
8700000,2,2,1250,6
16000000,4,2,2100,6
16000000,4,2,2100,6
8700000,2,2,1250,6
56000000,9,7,4500,10
29000000,4,4,3000,6
21000000,4,4,2450,7
30000000,4,4,2900,8
19000000,3,3,2400,10
20000000,4,4,2500,10
11000000,3,3,1400,9
10000000,2,1,700,7.5
33000000,6,6,3800,12
24000000,4,4,2900,7
27000000,5,4,5480,12.8
27000000,5,4,5408,12.8
16500000,3,2,2200,7.1
16000000,3,2,1600,10
29000000,5,2,1600,7
6400000,2,1,1000,6
40000000,4,3,3000,14
9500000,3,1,1600,7
40000000,3,3,2400,14.5
4000000,2,2,1000,1.7
28000000,4,5,3500,6
68000000,6,6,5300,21
12000000,4,2,1976,6.85
55000000,3,3,2000,20
12500000,4,3,1850,9
42000000,4,3,2980,8
28000000,6,4,3650,12.5
15500000,6,3,2500,12
28000000,4,2,2000,7
13000000,4,2,1550,7
13000000,4,2,1550,7
12800000,3,1,1200,7.5
8000000,2,1,671,3
7200000,2,1,1000,6
8000000,3,1,1950,9
13000000,3,3,1580,8
26000000,4,4,2900,10
17000000,4,3,2100,6.2
46000000,5,4,3500,11.8
12000000,3,1,1100,6.5
75000000,3,2,2000,36
23000000,4,4,2800,9
24000000,4,4,2900,7
5500000,2,1,871,3
22800000,4,4,1885,5.5
14000000,3,2,1200,9.7
20000000,4,3,2700,10
37500000,3,1,1200,10.56
57000000,4,3,3000,7.5
85000000,4,3,2100,13.32
98000000,4,4,3500,9.7
22500000,3,2,1800,10.5
15000000,3,2,2000,8.25
6300000,3,2,1000,5.25
31000000,4,5,4000,10
32500000,4,4,3200,10
57500000,5,5,3800,20
5000000,2,1,1200,18
34000000,4,4,3300,8
42000000,5,5,4000,12.5
18000000,3,3,1800,10.5
23000000,5,2,2500,8.6
6900000,4,2,1500,10
40000000,10,10,1500,70
50000000,3,2,2500,6.5
16500000,6,3,2800,18
39500000,4,4,4000,20
27500000,4,4,3000,10
9000000,2,2,1250,6
16000000,4,4,3200,7.2
19500000,4,3,2850,7.5
9600000,3,2,650,5.9
220000000,4,4,4000,14.5
38000000,4,4,3500,10
45000000,3,2,2000,5.6
21000000,4,3,2000,4
57000000,5,5,3000,10.5
6900000,2,2,1077,3.5
9500000,3,1,2000,9.7
37500000,3,3,3200,6
11200000,3,3,1580,8
28500000,4,3,2500,6
60000000,4,3,2000,13.1
18000000,3,3,2300,6.5
47000000,5,3,4500,7.9
7900000,3,3,1600,20
17500000,4,2,714,5.35
10000000,2,1,700,7.5
9000000,3,3,1480,7.5
14000000,3,2,800,10.02
160000000,8,2,4000,12
26500000,3,2,1700,7.5
18000000,5,2,1582,5.4
21000000,3,2,1950,11.8
52500000,4,3,4500,12
40000000,2,2,1490,14.9
14000000,3,1,800,3.8
24000000,4,3,2000,4
40000000,4,4,3000,6
12500000,2,2,1580,15.8
60000000,3,3,1000,120
39000000,4,4,3600,30
28500000,5,4,3500,10
7900000,3,2,2000,10
6800000,2,2,1200,4.2
24000000,4,4,2900,7
4300000,3,1,200,2
22500000,4,4,2800,10
30000000,4,4,2900,8
2500000,2,1,1400,4
36000000,4,3,3050,10.5
10900000,2,2,865,11.95
120000000,6,4,3500,11
29000000,4,3,2800,8.33
6800000,3,2,1200,10
55000000,4,3,3000,10
41000000,4,4,3750,17
26000000,5,4,3300,8.5
19000000,3,3,2400,10
19000000,3,3,2400,10
11500000,3,1,900,8
8300000,2,1,1600,12
29500000,3,4,2600,6
23000000,4,4,2800,9
23000000,3,3,2400,10
11800000,3,3,1500,8
21000000,4,4,2450,7
20000000,5,3,2900,10.5
20000000,4,4,2680,4.5
7500000,3,1,2000,5.37
14500000,3,2,1100,11.5
8900000,3,2,1450,10
24000000,5,4,3400,11.5
95000000,3,3,5000,12
147500000,5,3,2500,11.6
115000000,5,3,4012,43
120000000,5,4,3000,22
31500000,4,3,3150,6.5
17500000,6,3,2200,6.7
46000000,4,4,3500,11.8
25000000,2,2,800,6.5
38000000,3,3,5000,21.8
5500000,2,1,1500,13.75
7285000,3,2,1072,6
18000000,3,3,2650,8
8580000,2,1,852,7
34000000,4,3,3500,6.3
9000000,2,1,1100,6
16500000,5,2,2524,8.5
31000000,4,5,4000,10
19500000,5,3,3200,11.5
32500000,4,4,3200,10
25000000,4,2,2500,14
22000000,5,4,2900,9.8
30000000,5,4,3500,16
19000000,4,4,2400,8
5000000,3,1,1400,10
50000000,6,5,3600,17.6
55000000,5,6,3750,12
6500000,3,1,1000,6
13500000,3,3,1650,10
34000000,2,2,1300,7.2
28000000,5,4,2500,16
27500000,5,2,2300,5
