location,price,beds,baths,house_size,land_size
Malabe,16000000,7,4,3000.0,21.0
Ratmalana,13500000,3,2,1600.0,6.0
Malabe,14000000,5,4,1950.0,6.6
Malabe,29000000,4,3,3200.0,10.5
Homagama,24000000,5,3,3000.0,9.5
Homagama,2800000,2,1,1200.0,5.8
Moratuwa,15900000,4,3,2200.0,8.0
Homagama,31500000,5,4,4000.0,6.0
Pannipitiya,11000000,3,1,2000.0,9.3
Boralesgamuwa,32000000,4,5,3223.0,6.2
Pannipitiya,40000000,4,3,3800.0,22.0
Talawatugoda,80000000,4,4,4800.0,18.5
Colombo 9,6500000,2,1,850.0,800.0
Colombo 7,525000000,4,6,11715.0,22.3
Talawatugoda,35000000,4,4,3250.0,8.0
Piliyandala,9800000,3,2,960.0,10.0
Colombo 4,200000000,6,4,4000.0,8.8
Wellampitiya,12500000,4,2,1520.0,4.5
Kohuwala,30000000,3,3,2850.0,7.5
Talawatugoda,34000000,4,3,2850.0,7.5
Malabe,18500000,3,2,1950.0,8.0
Colombo 5,130000000,4,2,1850.0,23.0
Kotte,29000000,6,3,2650.0,9.6
Talawatugoda,78000000,6,6,6000.0,11.3
Pannipitiya,25000000,5,4,2800.0,10.0
Malabe,23000000,4,4,3000.0,8.0
Nawala,41000000,3,2,2600.0,11.0
Kesbewa,13000000,4,3,1900.0,10.0
Padukka,5900000,3,1,1200.0,12.0
Pannipitiya,21000000,4,3,2600.0,10.7
Talawatugoda,33500000,5,4,4200.0,7.0
Kotte,130000000,4,3,3500.0,26.0
Kottawa,13000000,3,2,1400.0,8.0
Athurugiriya,29500000,4,3,4500.0,11.0
Kottawa,11700000,3,2,1550.0,8.7
Nugegoda,37500000,5,5,4000.0,6.0
Pannipitiya,12900000,3,2,1200.0,10.9
Maharagama,15500000,3,1,1500.0,10.8
Mount Lavinia,23000000,5,5,2500.0,11.6
Kaduwela,150000000,5,2,1600.0,13.0
Athurugiriya,7500000,3,2,1050.0,6.0
Piliyandala,11000000,4,2,2624.0,8.5
Kottawa,9700000,3,2,1100.0,7.4
Kottawa,400000000,7,6,3500.0,10.0
Nugegoda,38500000,6,4,2900.0,9.85
Hanwella,11000000,5,2,1100.0,12.0
Colombo 5,250000000,6,7,3800.0,15.0
Nugegoda,31100000,3,2,7988.0,7.5
Colombo 5,125000000,5,4,4200.0,12.0
Battaramulla,12500000,3,2,1400.0,10.0
Nugegoda,250000000,6,7,3500.0,15.0
Talawatugoda,36000000,4,4,3000.0,8.8
Battaramulla,45000000,4,3,3800.0,10.0
Pannipitiya,39000000,5,3,4000.0,7.2
Battaramulla,255000000,4,4,3500.0,23.5
Boralesgamuwa,24000000,4,3,2300.0,7.0
Kotte,30000000,3,3,2250.0,6.38
Rajagiriya,30000000,4,1,1700.0,5.5
Boralesgamuwa,21000000,5,3,2500.0,9.8
Kottawa,20000000,4,4,2100.0,10.1
Kottawa,15500000,3,3,1645.0,7.0
Boralesgamuwa,24000000,4,3,2850.0,7.0
Malabe,16500000,3,2,1550.0,10.0
Battaramulla,120000000,4,4,4000.0,17.4
Moratuwa,50000000,4,3,3500.0,19.0
Boralesgamuwa,23000000,5,2,2500.0,8.6
Colombo 5,36000000,4,2,2500.0,6.5
Piliyandala,22000000,4,3,2200.0,8.0
Pannipitiya,13000000,3,3,1650.0,8.5
Colombo 5,25000000,4,2,2500.0,7.0
Battaramulla,45000000,4,5,2800.0,7.5
Maharagama,33000000,8,3,2850.0,15.0
Ratmalana,11000000,2,1,900.0,7.1
Colombo 5,70000000,6,6,3050.0,22.0
Nugegoda,35000000,5,3,2500.0,10.0
Talawatugoda,100000000,6,4,4000.0,17.0
Maharagama,8000000,3,1,1950.0,9.0
Athurugiriya,8700000,3,1,1100.0,7.0
Malabe,29000000,4,3,3000.0,10.0
Piliyandala,21500000,4,4,2900.0,8.5
Talawatugoda,32000000,5,4,2800.0,9.5
Malabe,23000000,4,3,3200.0,8.0
Battaramulla,15800000,3,2,1850.0,10.0
Battaramulla,170000000,6,5,5544.0,20.0
Maharagama,18000000,3,3,1950.0,8.0
Pannipitiya,21000000,4,3,2100.0,8.8
Nugegoda,52500000,5,4,4500.0,17.5
Malabe,15500000,3,2,1700.0,10.0
Talawatugoda,16500000,3,2,2650.0,7.7
Malabe,29000000,3,3,2100.0,7.2
Malabe,29000000,4,3,2650.0,12.0
Dehiwala,16000000,4,2,3000.0,6.3
Malabe,13000000,3,1,1800.0,10.0
Avissawella,8500000,4,2,2500.0,98.0
Padukka,6000000,3,2,1650.0,9.64
Talawatugoda,14300000,2,1,1000.0,10.0
Homagama,19600000,3,3,1900.0,6.5
Ratmalana,56000000,4,2,2500.0,18.69
Wellampitiya,13500000,6,4,1500.0,9.0
Maharagama,43000000,4,4,4100.0,11.6
Kottawa,21500000,4,3,2500.0,9.0
