location,price,beds,baths,house_size,land_size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
17,21000000,4,4,2450,7,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,67500000,7,7,5260,21,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,30000000,5,4,2600,10,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
18,22500000,3,2,1800,10.5,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
1,17000000,4,3,2100,6.2,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0
12,80000000,3,2,4000,12,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2,17000000,5,3,2500,11.3,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
1,27000000,5,4,5408,12.8,1,0,0,0,0,2,1,0,1,0,0,0,1,1,0
11,34000000,4,3,2800,7.5,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
9,27000000,5,4,5408,12.8,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0
31,30000000,6,4,3000,14,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0
18,26000000,4,3,3000,7.6,0,0,0,1,0,2,1,1,1,1,0,0,0,1,1
17,20500000,4,3,2500,8.5,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0
17,30000000,4,4,2900,8,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,11800000,3,3,1500,8,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
17,20000000,4,3,2500,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
13,4800000,2,2,1200,9,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
31,47500000,4,3,4000,18.5,0,1,0,1,0,2,1,1,1,0,1,0,1,1,0
18,30000000,5,3,3500,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
23,135000000,5,5,6000,25.5,1,0,0,0,1,2,1,1,1,0,0,0,0,1,0
2,29000000,4,4,2500,6,0,0,1,1,1,2,0,1,1,1,1,1,1,0,0
24,37500000,5,5,3200,6,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0
17,15000000,3,1,1300,12,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
