location,price,beds,baths,house_size,land_size,cluster
25,90000000,4,4,4200.0,40.0,2
22,6900000,2,1,1000.0,9.3,0
13,80000000,3,2,3000.0,20.0,2
3,42000000,5,3,2800.0,15.0,0
28,35000000,6,6,3800.0,12.0,0
30,21000000,4,3,1750.0,4.0,0
25,26000000,4,2,2700.0,13.0,0
31,130000000,5,4,6000.0,22.5,2
27,27500000,4,4,2000.0,8.0,0
1,7900000,3,2,1500.0,6.0,0
13,10000000,3,1,1500.0,10.0,0
32,29000000,4,3,2800.0,8.33,0
38,13800000,4,3,1880.0,6.8,0
28,12800000,3,3,1300.0,7.9,0
28,16200000,4,1,1800.0,13.5,0
28,24000000,4,4,2900.0,7.0,0
28,21000000,4,4,2450.0,7.0,0
28,18000000,4,4,2200.0,7.0,0
35,12500000,4,2,1750.0,6.5,0
28,46000000,4,4,3500.0,11.8,0
32,21000000,3,3,1300.0,17.0,0
34,18000000,3,3,2700.0,14.0,0
25,12500000,3,3,1650.0,8.5,0
25,16500000,3,2,2027.0,14.3,0
20,34000000,4,1,2000.0,60.0,0
32,59500000,7,5,5200.0,12.5,2
1,9975000,4,2,2200.0,11.23,0
38,32500000,4,4,3500.0,11.0,0
34,13000000,3,3,1500.0,10.7,0
28,22500000,4,4,2800.0,10.0,0
28,33000000,6,5,3900.0,12.0,0
28,16000000,3,3,1600.0,10.0,0
28,11000000,3,3,1300.0,6.5,0
28,23000000,4,4,2800.0,9.0,0
1,13500000,3,3,1650.0,10.0,0
28,105000000,5,5,6600.0,40.0,2
25,32500000,6,2,3000.0,15.0,0
23,30000000,4,2,2600.0,11.0,0
34,16000000,5,3,2000.0,11.5,0
5,7500000,3,2,1200.0,4.4,0
25,14000000,3,2,1288.0,8.0,0
27,18000000,2,2,1500.0,7.0,0
27,22000000,4,3,2850.0,8.0,0
1,18000000,4,2,2537.0,6.3,0
32,32000000,3,2,2000.0,6.1,0
25,26000000,4,2,2700.0,13.0,0
25,10000000,2,1,700.0,7.5,0
0,18500000,4,1,3000.0,18.44,0
38,30000000,3,3,2500.0,11.0,0
32,42000000,5,4,3455.0,12.25,0
35,7200000,3,2,2500.0,11.5,0
26,127500000,5,4,9000.0,18.0,2
26,39000000,5,5,4000.0,10.0,0
28,21500000,4,3,2850.0,6.0,0
1,8000000,2,2,1800.0,6.0,0
3,12500000,3,3,1200.0,7.0,0
4,22000000,4,2,1100.0,13.0,0
18,80000000,9,4,5000.0,20.0,2
28,18000000,4,4,2200.0,7.0,0
35,11000000,4,2,1638.0,6.8,0
4,25000000,5,3,2725.0,12.0,0
35,8700000,2,2,1250.0,6.0,0
35,16000000,4,2,2100.0,6.0,0
22,16000000,4,2,2100.0,6.0,0
22,8700000,2,2,1250.0,6.0,0
30,56000000,9,7,4500.0,10.0,2
3,29000000,4,4,3000.0,6.0,0
28,21000000,4,4,2450.0,7.0,0
28,30000000,4,4,2900.0,8.0,0
28,19000000,3,3,2400.0,10.0,0
28,20000000,4,4,2500.0,10.0,0
1,11000000,3,3,1400.0,9.0,0
25,10000000,2,1,700.0,7.5,0
28,33000000,6,6,3800.0,12.0,0
28,24000000,4,4,2900.0,7.0,0
1,27000000,5,4,5480.0,12.8,0
25,27000000,5,4,5408.0,12.8,0
3,16500000,3,2,2200.0,7.1,0
28,16000000,3,2,1600.0,10.0,0
18,29000000,5,2,1600.0,7.0,0
1,6400000,2,1,1000.0,6.0,0
18,40000000,4,3,3000.0,14.0,0
37,9500000,3,1,1600.0,7.0,0
32,40000000,3,3,2400.0,14.5,0
5,4000000,2,2,1000.0,1.7,0
28,28000000,4,5,3500.0,6.0,0
28,68000000,6,6,5300.0,21.0,2
38,12000000,4,2,1976.0,6.85,0
26,55000000,3,3,2000.0,20.0,2
22,12500000,4,3,1850.0,9.0,0
32,42000000,4,3,2980.0,8.0,0
38,28000000,6,4,3650.0,12.5,0
28,15500000,6,3,2500.0,12.0,0
18,28000000,4,2,2000.0,7.0,0
35,13000000,4,2,1550.0,7.0,0
