location,price,beds,baths,house_size,land_size
27,8000000,3,1,1950,9
28,19000000,3,3,2400,10
28,23000000,4,4,2800,9
28,11000000,3,3,1300,6.5
1,8700000,3,1,1100,7
3,22500000,3,2,1800,10.5
28,21000000,4,4,2450,7
28,29000000,4,3,3000,10
35,21500000,4,4,2900,8.5
38,32000000,5,4,2800,9.5
28,23000000,4,3,3200,8
3,15800000,3,2,1850,10
3,170000000,6,5,5544,20
27,18000000,3,3,1950,8
32,115000000,5,5,6500,14.8
34,21000000,4,3,2100,8.8
32,52500000,5,4,4500,17.5
28,15500000,3,2,1700,10
38,16500000,3,2,2650,7.7
28,29000000,3,3,2100,7.2
28,29000000,4,3,2650,12
23,105000000,4,4,4600,37
18,16000000,4,2,3000,6.3
28,13000000,3,1,1800,10
2,8500000,4,2,2500,98
33,6000000,3,2,1650,9.64
38,14300000,2,1,1000,10
20,19600000,3,3,1900,6.5
28,11800000,3,3,1500,8
28,16000000,3,3,1600,10
38,21500000,4,3,2200,6.5
29,28000000,4,4,3680,10
37,56000000,4,2,2500,18.69
39,13500000,6,4,1500,9
28,24000000,4,4,2900,7
27,43000000,4,4,4100,11.6
25,21500000,4,3,2500,9
28,18000000,3,3,2300,6.5
28,11000000,3,3,1300,6.5
28,23000000,4,4,2800,9
28,21000000,4,4,2450,7
20,5500000,3,1,1500,20
28,30000000,5,4,3500,16
28,20000000,4,4,2500,10
18,50000000,4,4,4400,7
34,14500000,3,1,1200,16.3
32,47000000,5,4,4000,13.5
35,5500000,1,1,850,6.5
20,5500000,3,1,600,15
28,19500000,4,4,2650,10.5
3,50000000,6,5,3600,17.6
38,47500000,5,4,4800,10.25
35,9500000,3,1,1600,10
4,27500000,4,2,1200,8
13,40000000,5,3,2400,7.85
29,12500000,3,1,1200,6
28,23000000,4,3,2128,6
22,12500000,3,3,2000,8
28,46000000,4,4,3500,11.8
28,21000000,4,4,2450,7
22,12500000,3,3,2000,8
37,16500000,6,3,3000,12
29,10500000,2,1,1000,7.1
