location,price,beds,baths,house_size,land_size
Kohuwala,33000000,4,4,2900,8
Malabe,21500000,4,4,2400,6
Nugegoda,37500000,5,3,3700,12
Kottawa,9500000,3,2,1100,9
Maharagama,47000000,4,3,3000,10
Malabe,22500000,4,4,2800,8
Colombo 9,75000000,4,3,2800,10
Malabe,21500000,4,3,2200,6.5
Malabe,16000000,3,3,1600,10
Malabe,20000000,4,3,2500,10
Malabe,28500000,5,4,3500,10
Piliyandala,8000000,4,2,2420,5
Battaramulla,49000000,5,5,6000,21
Malabe,22500000,4,4,2850,8
Maharagama,29000000,4,2,3000,20
Malabe,24000000,4,4,2850,8
Malabe,30000000,5,4,2850,10
Boralesgamuwa,30000000,5,4,3500,7.6
Homagama,4200000,2,1,1000,6.5
Rajagiriya,65000000,5,4,4500,11.5
Malabe,24000000,5,4,2500,10
Piliyandala,8700000,2,2,1200,6
Rajagiriya,32500000,4,4,3600,8
Piliyandala,18500000,4,3,2300,10
Malabe,23500000,4,4,2780,8
Kesbewa,18500000,4,3,2000,9
Kaduwela,13000000,3,2,2000,14
Maharagama,27000000,4,2,2500,8.35
Malabe,33000000,6,6,3900,12
Kolonnawa,11000000,3,2,1633,7.5
Malabe,16000000,3,3,1600,10
Colombo 5,5500000,3,2,2000,2
Malabe,21500000,4,3,2200,6.5
Malabe,24000000,4,4,2650,8
Malabe,11800000,3,3,1500,8
Athurugiriya,7200000,2,1,950,6
Kottawa,18500000,5,4,2600,9.7
Malabe,19000000,3,3,2400,10
Mount Lavinia,65000000,7,6,5000,18
Malabe,28500000,5,4,3800,10.5
Malabe,33000000,6,6,3800,12
Malabe,24000000,4,4,2900,7
Rajagiriya,65000000,5,4,3500,12
Malabe,25800000,4,3,3400,8.5
Talawatugoda,45000000,3,2,3000,11.5
Dehiwala,37000000,4,5,4000,10
Malabe,16000000,3,3,1600,10
Battaramulla,180000000,9,10,18300,60.26
Malabe,21000000,4,4,24520,7
Athurugiriya,31000000,4,5,4000,10
Malabe,23000000,4,4,2800,9
Malabe,18000000,4,4,2200,7
Homagama,18500000,4,4,2382,8.5
Maharagama,27000000,4,2,2500,8.35
Malabe,19000000,3,3,2400,10
Malabe,22500000,4,4,2800,8
Malabe,19000000,3,3,2400,10
Malabe,26000000,5,4,3300,8
Malabe,11000000,3,3,1300,6.5
Malabe,28500000,5,4,3500,10
Athurugiriya,7900000,2,1,1300,12
Homagama,18000000,5,3,3000,10
Nugegoda,43000000,5,4,3209,7.85
Maharagama,18000000,2,2,1500,11.25
Boralesgamuwa,21000000,4,2,2500,16
Malabe,21000000,4,4,2800,7.5
Malabe,51000000,3,4,4000,27.1
Athurugiriya,8000000,2,1,1200,10
Malabe,22500000,4,4,2800,8
Malabe,18000000,4,4,2450,7
Malabe,42500000,5,3,3500,17
Malabe,21500000,4,3,2850,6
Malabe,21000000,4,3,2850,7
Maharagama,42000000,5,3,4100,14.3
Malabe,21000000,4,4,2850,7.5
Malabe,24000000,5,4,2800,10.25
Athurugiriya,18000000,4,4,2200,8
Malabe,20000000,4,3,2500,10
Malabe,22500000,4,4,2850,8
Malabe,24000000,4,4,2900,7
Piliyandala,12500000,4,2,1750,6.5
Malabe,19000000,3,3,2400,10
Malabe,11800000,3,3,1500,8
Malabe,21000000,4,4,2450,7
Malabe,30000000,4,3,315,6
Talawatugoda,34000000,4,4,3300,8
Talawatugoda,21500000,4,3,2200,6.5
Malabe,19500000,4,4,2750,10.5
Malabe,21500000,4,3,2200,6.5
Malabe,16000000,3,3,1600,10
Malabe,18000000,3,3,2300,6.5
Nugegoda,88000000,4,5,3000,16
Malabe,19500000,3,3,2400,8.6
Malabe,19500000,4,3,2250,6.5
Kotte,6900000,2,1,650,3.5
Athurugiriya,8700000,3,1,1100,6
Malabe,9865000,3,3,1905,3.5
Battaramulla,25000000,4,3,3000,10
Athurugiriya,13400000,3,3,1750,7
Malabe,18000000,3,3,1800,7.13
Malabe,23000000,4,4,2300,11
Malabe,19500000,4,3,2850,7.5
Piliyandala,13000000,4,2,1600,11.5
Malabe,22500000,5,4,2850,10
Kesbewa,11000000,3,2,1600,8.3
Malabe,31000000,5,4,3800,7.5
Malabe,28800000,6,4,2850,12
Piliyandala,60000000,6,4,4500,11
Kohuwala,33000000,4,4,2900,8
Homagama,9300000,3,3,1410,10.5
Kolonnawa,7500000,2,2,1127,2.5
Kolonnawa,19000000,6,3,2230,5.5
Rajagiriya,7500000,3,2,1500,3
Dehiwala,48000000,4,4,3300,11.5
Colombo 5,260000000,4,4,5000,20.1
Piliyandala,16500000,4,3,2500,13
