,0,1,2,3,4,5,6,7,8
31,Fairway Apartment for Sale Rajagiriya - A0589,11 Jul  7:59 pm,"Rajagiriya, Colombo","40,000,000",Fairway Lake view Apartment For sale at Rajagiriya,3,2,"1,760 sqft",
32,Rajagiriya Royal Park Apartment For Sale,11 Jul  3:01 pm,"Rajagiriya, Colombo","42,000,000",04 Bedrooms 03 Bathrooms 1900 Square Feet B Tower2 BalconiesGYM and Swimming Pool Available higher floor.,"Lake Drive, Rajagiriya",4,3,"1,900 sqft"
33,"3BR Apartment for Sale - ""The Highness, Rajagiriya""",11 Jul  1:47 pm,"Rajagiriya, Colombo","36,000,000",• Our Reference No - SA 323(Please quote this reference number when inquiring),Rajagiriya,3,2,"1,998 sqft"
34,Apartment for Sale in Rajagiriya,23 Jul  9:25 am,"Rajagiriya, Colombo","33,000,000",Newly built brand new apartment in Rajagiriya (Homes land skyline)3 Bedroom spacious 1384 Sq.Ft,"Rajagiriya Road, Rajagiriya",3,2,"1,384 sqft"
35,Rajagiriya Fairmount Apartment For Sale,11 Jul 10:53 pm,"Rajagiriya, Colombo","37,000,000",3 Bedrooms3 BathroomsFully Furnished With Tak Furnished1700 Square FeetHigher FloorParliament ViewWe are Very Intimate to Provide Quality Services.,"Buthgamuwa Road, Rajagiriya",3,3,"1,700 sqft"
36,Rajagiriya Wind Crest Apartment | for sale - A0502,10 Jul 10:58 am,"Rajagiriya, Colombo","27,000,000","DESCRIPTION It is a three bed roomed spacious apartment situated in the consists of a spacious sitting & dinning room, three bed rooms including a spacious master bed room with an attached bathroom, servant room and common bathroom, an elegant pantry with fitted cupboards & two balcony areas.",3,2,"1,610 sqft",
37,Iconic Pent House Level 3 BR Apartment For Sale, 9 Jul  3:52 pm,"Rajagiriya, Colombo","55,000,000","03 Bedrooms+ Study Room02 Bathrooms Garden and Rear View, Servant Quarters,Semi Furnished, 2100 Square Feet",Parliment Road,3,2,"2,100 sqft"
38,4BR Apartment | Rajagiriya - Elements Residencies For Sale, 9 Jul  1:44 pm,"Rajagiriya, Colombo","65,000,000",ELEMENTS BY FAIRWAY – 4 Bedrooms Luxury Apartment for SALE – Rajagiriya,Buthgamuwa Road,4,4,"2,145 sqft"
39,Rajagiriya Wind Crest Apartment for sale - A0503, 9 Jul 12:26 pm,"Rajagiriya, Colombo","26,000,000","DESCRIPTION It is a three bed roomed spacious apartment situated in the consists of a spacious sitting & dinning room, three bed rooms including a spacious master bed room with an attached bathroom, servant room and common bathroom, an elegant pantry with fitted cupboards & two balcony areas.",3,2,"1,610 sqft",
40,Rajagiriya Highness Apartment for Sale - A0567, 9 Jul 12:21 pm,"Rajagiriya, Colombo","33,000,000",Highness Apartment for sale in Rajagiriya,3,3,"1,350 sqft",
41,Rajagiriya Apartment | For sale - AA576-A, 9 Jul 12:03 pm,"Rajagiriya, Colombo","61,000,000",Clear-point Apartment for sale in Rajagiriya,3,3,"2,400 sqft",
42,Luxury Apartment Fully Furnished for Sale- Rajagriya, 8 Jul  3:39 pm,"Rajagiriya, Colombo","40,000,000","ICONIC 110 - LUXURY APARTMENT AT AN AFFORDABLE PRICE$222,222Colombo, Sri Lanka",RAJAGIRIYA,3,2,"1,800 sqft"
43,3 Bedroom Apartment Under 40 Million Near Colombo, 8 Jul  7:07 am,"Rajagiriya, Colombo","38,000,000",GREAT DEAL FOR APARTMENT SEEKERS,RAJAGIRIYA,3,2,"1,512 sqft"
44,Luxury apartment for sale at Sky Gardens - Rajagiriya, 7 Jul  3:30 pm,"Rajagiriya, Colombo","55,000,000","Fantastic location , panoramic views and the name says it all 'sky gardens ' !",Sky Gardens Rajagiriya,4,4,"2,500 sqft"
45,Apartment for sale in Rajagiriya (Brand new with furniture),19 Jul  2:27 pm,"Rajagiriya, Colombo","14,500,000",Lake front brand new apartment Beautiful area view  With semi furniture 20 ft road800m to Rajagiriya townCar parking Hot waterFully A/C Lift,Rajagiriya,1,1,750 sqft
