,0,1,2,3,4,5,6,7,8
20,Holiday Bungalow in Anuradhapura,19 Jun  3:15 pm,"Anuradhapura, Anuradhapura","5,750",Non A/C full Bungalow -5750 - Maximum 12 paxA/C full Bungalow -7000 - Maximum 12 paxඅනුරාධපුර නගරට නුදුරින් පිහිටි ඉතා නිදහස්  දිනොරා නිවාඩු නිකේතනය තුළින් ආරක්ෂිත සුවපහසු නවාතැන් පහසුකම් ඔබට ලබා ගත හැකිය. සුවපහසුව  දොළොස් දෙනෙකු සඳහා නවාතැන් පහසුකම් ගත හැක,"No. 03, Unagaswewa road, Anuradhapura",Holiday bungalow,6,3
21,Ranweli Resort Anuradhapura, 4 Jul  5:45 pm,"Anuradhapura, Anuradhapura","4,000","Ranweli Resort consists of 3 elegant villas with 2 deluxe double rooms and 4 deluxe family rooms. Located at Kawarakkulama, on 10 minutes to Anuradhapura city. Easy access to Nachchaduwa tank and Mihinthale. The rooms have attached bathrooms and Most of the rooms with air conditioned. Inside parking space, buffet style restaurant and attractive large garden area. Room rates  Rs.4000/-  Rs.4800/","Kandy Road, Kawarakkulama, Anuradhapura",Holiday bungalow,6,6
22,Rooms for Rent in Anuradhapura,14 Jun  8:26 pm,"Anuradhapura, Anuradhapura","1,500",අනුරාධපුර නගරයේ මාතලේ හංදියේ පිහිටි පබොධා හොම් ස්ටේ තුලින් සුව පහසු ආරක්ශිත නවාතැන් පහසුකම් ජය ශ්‍රී මහා බෝධියට විනාඩි 10 දුරමිහින්තලය විනාඩි 10ඔනෑම ස්ථානය පහසුවෙන් ලගාවිය හැකි සියලුම පහසුකම් සහිත මුලිතැන්ගෙය ඇදුම් මැදිමේ වාහන නැවතිමේ පහසුකම් ,mathale junction Anuradhapura,Seasonal room,3,3
23,Apartment for Rent in Anuradhapura,16 Jul  2:06 pm,"Anuradhapura, Anuradhapura","3,500","Vibhawa Apartment is an elegantly designed  property with stunning view. This very ideal place for your next holiday. Well located at Nagadeepa Mawatha within close distance to the main sacred places and 1.5 km from the city. The apartment has 1 Ac triple room and 1 Ac double room with balconies, fully furnished living area including dining table, refrigerator, large television, office room and a common balcony.  The property is surrounded by lush green paddy fields and can see peacocks and other birds in the area. Lodging facility available for 5-6 guests and meals can be served on request.Ac Double room Rs.2000/-     Ac Family Room Rs.3500/Full apartment Rs.5000/- Rs.7000/ With Ac",Holiday bungalow,2,1,
24,Holiday Bunglow Anuradhapura Stage Rest,13 Jun  7:19 pm,"Anuradhapura, Anuradhapura","2,000",Comfortable Family  RoomsAnuradhapura City Area2Km to Sacred cityAC/Non AC Comfortable roomsLarge Parking AreaKitchen,"D.S.Senanayake MW, Stage iii, Anuradhapura",Holiday bungalow,8,4
25,Rent Apartment for Short Time in Anuradhapura,16 Jul  9:32 pm,"Anuradhapura, Anuradhapura","8,500","අනුරාධපුර නවනගරයෙ 02 පියවරහි පිහිටි දෙමහල් නිවසෙහි බිම් මහල කෙටිකාලීනව නිවාඩු ගත කිරීම සඳහා කුලියට දෙනු ලැබේ. නිදන කාමර 03, නාන කාමර 2, මුළුතැන් ගෙය සහ සාලය. එක් කාමරයක් වායු සමනය කර ඇත. නවීන සුව පහසු ඉඩකඩ . වන්දනා නඩ සඳහා විශේෂයි...නිස්කලංක පරිසරය. සියලුම ගෘහ උපකරණ සහිතව... ඔබේ නිවාඩුව සිතැඟි පරිදි ගත කරන්න. ..  තනි කාමර වූව ද වෙන් කර ගැනීමට හැක..A/C Bed Room 01Non A/C Bed Room 02Living roomKitchen  Parking space available.Individual rooms or whole apartment can be boooed.",Apartment,4,2,
26,Blooming Resort with Swimming Pool - Anuradhapura,12 Jun  9:54 pm,"Anuradhapura, Anuradhapura","2,000","Blooming Resort is the right place for your holiday. Newly built elegant hotel with specious bedrooms come with en-suite bathrooms. All bedrooms with comfy mattresses and siting area. Restaurant facility, meals, wi-fi, cable tv and more facilities.  Walking distance to Nuwara wewa. 200 meters from Mihintale road and 2 km to sacred city. * Free swimming pool facility for all guests.Non Ac Rooms Rs.2000/- Rs.3500/Ac Rooms        Rs.3000/- Rs.5000/",Holiday bungalow,5,5,
27,Comfortable Family Rooms - Anuradhapura,10 Jun  8:34 am,"Anuradhapura, Anuradhapura","2,000","* 4 Bed room with Very Good and clean attached bathrooms.* Kitchen* Very close to the Abhayagiriya, Mirisvetiya, Sri Mahabodhiya, Ruwanweliseya and other    religious places. * 2Km to Thisawewa and Sacred city 2 minutes from Railway station and New Town.","New Abhayagiri road,Anula Mawatha,Anuradhapura",Seasonal room,8,4
28,Selagala Hotel - Anuradhapura, 4 Jun  9:30 am,"Anuradhapura, Anuradhapura","1,500","Selagala Hotel is a comfortable place to stay. Walking distance to new town and very close to old town bus stand. Can reach to the city and sacred city  in a few minutes. The hotel has comfortable double bedrooms and family bedrooms. Some rooms have air conditioned facility. Restaurant, living room and lobby area available. Large garden area comes with parking space. Room basis and the entire premises can be taken for groups.Budget room Rs.1500/ - Rs.3000/Standard Room  Rs.2500/-  Rs.3500/We have small budget house with an attached bathroom and outdoor bathroom. Television is available.Rs.2500/ for 5 guestsRs.4000/ for 10 guestsRs.5000/ for guests",Holiday bungalow,5,5,
29,Clean And Comfortable Accommodation In Anuradhapura, 4 Jul  3:59 am,"Anuradhapura, Anuradhapura","7,000","Anuradhapura Accommodation (A home away from home) for families up to 10A rare opportunity to stay in a cozy, nice and clean place, keeping mind away from bustling cluttered environmentWe including me, tend to pay more for holiday accommodation because we want to ensure that quality and cleanliness should be there. We provide both at an affordable price. That’s our motto.  We will ensure that you feel like “a home away from home”A fully furnished cottage with 3BR (AC/non AC), complete pantry with all cooking equipment and utensils, 2-baths with hot water, automatic washer, open dining room, living room with cable TV and Wifi, toiletries and many more extra at no additional cost, is available to relax and to prepare religious offerings.Your privacy and comfortability are our top priorities. An assistant is available to help in case you need extra support. Cost varies from Rs. 5000 to 7500 depending on number of guests.We guarantee you the best customer care.P.S. Added few more resources recently because of your encouragement and all positive feedback provided by you (refer online reviews) about our service.Call me today orFollow us onhttps://www.instagram.com/p/BtdTalzgpnO/?utm_source=ig_share_sheet&igshid=z3dq8t4lnaa2 (copy and paste the link)Booking can be done through Airbnb, Facebook, Agoda and TripAdvisor also.",Holiday bungalow,10,2,
