,Location,Price,Beds,Baths,House Size,Land Size
241,21,13000000,3,2,2000.0,14.0
242,27,27000000,4,2,2500.0,8.35
243,28,33000000,6,6,3900.0,12.0
244,24,11000000,3,2,1633.0,7.5
245,28,16000000,3,3,1600.0,10.0
246,13,5500000,3,2,2000.0,2.0
247,28,21500000,4,3,2200.0,6.5
248,28,24000000,4,4,2650.0,8.0
249,28,11800000,3,3,1500.0,8.0
250,1,7200000,2,1,950.0,6.0
251,25,18500000,5,4,2600.0,9.7
252,28,19000000,3,3,2400.0,10.0
253,30,65000000,7,6,5000.0,18.0
254,28,28500000,5,4,3800.0,10.5
255,28,33000000,6,6,3800.0,12.0
256,28,24000000,4,4,2900.0,7.0
257,36,65000000,5,4,3500.0,12.0
258,28,25800000,4,3,3400.0,8.5
259,38,45000000,3,2,3000.0,11.5
260,18,37000000,4,5,4000.0,10.0
261,28,16000000,3,3,1600.0,10.0
264,1,31000000,4,5,4000.0,10.0
265,28,23000000,4,4,2800.0,9.0
266,28,18000000,4,4,2200.0,7.0
267,20,18500000,4,4,2382.0,8.5
268,27,27000000,4,2,2500.0,8.35
269,28,19000000,3,3,2400.0,10.0
270,28,22500000,4,4,2800.0,8.0
271,28,19000000,3,3,2400.0,10.0
272,28,26000000,5,4,3300.0,8.0
273,28,11000000,3,3,1300.0,6.5
274,28,28500000,5,4,3500.0,10.0
275,1,7900000,2,1,1300.0,12.0
276,20,18000000,5,3,3000.0,10.0
277,32,43000000,5,4,3209.0,7.85
278,27,18000000,2,2,1500.0,11.25
279,4,21000000,4,2,2500.0,16.0
280,28,21000000,4,4,2800.0,7.5
281,28,51000000,3,4,4000.0,27.1
282,1,8000000,2,1,1200.0,10.0
283,28,22500000,4,4,2800.0,8.0
284,28,18000000,4,4,2450.0,7.0
285,28,42500000,5,3,3500.0,17.0
286,28,21500000,4,3,2850.0,6.0
287,28,21000000,4,3,2850.0,7.0
288,27,42000000,5,3,4100.0,14.3
289,28,21000000,4,4,2850.0,7.5
290,28,24000000,5,4,2800.0,10.25
291,1,18000000,4,4,2200.0,8.0
292,28,20000000,4,3,2500.0,10.0
293,28,22500000,4,4,2850.0,8.0
294,28,24000000,4,4,2900.0,7.0
295,35,12500000,4,2,1750.0,6.5
296,28,19000000,3,3,2400.0,10.0
297,28,11800000,3,3,1500.0,8.0
298,28,21000000,4,4,2450.0,7.0
299,28,30000000,4,3,315.0,6.0
300,38,34000000,4,4,3300.0,8.0
301,38,21500000,4,3,2200.0,6.5
302,28,19500000,4,4,2750.0,10.5
303,28,21500000,4,3,2200.0,6.5
304,28,16000000,3,3,1600.0,10.0
305,28,18000000,3,3,2300.0,6.5
306,32,88000000,4,5,3000.0,16.0
307,28,19500000,3,3,2400.0,8.6
308,28,19500000,4,3,2250.0,6.5
309,26,6900000,2,1,650.0,3.5
310,1,8700000,3,1,1100.0,6.0
311,28,9865000,3,3,1905.0,3.5
312,3,25000000,4,3,3000.0,10.0
313,1,13400000,3,3,1750.0,7.0
314,28,18000000,3,3,1800.0,7.13
315,28,23000000,4,4,2300.0,11.0
316,28,19500000,4,3,2850.0,7.5
317,35,13000000,4,2,1600.0,11.5
318,28,22500000,5,4,2850.0,10.0
319,22,11000000,3,2,1600.0,8.3
320,28,31000000,5,4,3800.0,7.5
321,28,28800000,6,4,2850.0,12.0
322,35,60000000,6,4,4500.0,11.0
323,23,33000000,4,4,2900.0,8.0
324,20,9300000,3,3,1410.0,10.5
325,24,7500000,2,2,1127.0,2.5
326,24,19000000,6,3,2230.0,5.5
327,36,7500000,3,2,1500.0,3.0
328,18,48000000,4,4,3300.0,11.5
329,13,260000000,4,4,5000.0,20.1
330,35,16500000,4,3,2500.0,13.0
331,32,15000000,2,1,1400.0,7.5
332,35,68000000,5,4,3600.0,9.5
333,26,55000000,10,5,3500.0,12.0
334,25,19000000,4,4,2620.0,8.0
335,29,3900000,3,2,2000.0,15.0
336,35,8700000,2,2,1250.0,6.0
337,1,16000000,4,3,2200.0,7.0
338,38,12000000,3,2,1100.0,5.1
339,37,6300000,2,1,600.0,1.0
340,35,15900000,6,3,2750.0,8.5
341,1,18000000,4,4,2200.0,8.0
342,18,55000000,4,3,2000.0,15.2
343,1,13500000,3,3,1650.0,10.0
344,29,7000000,4,1,2000.0,7.0
345,28,24000000,4,4,2900.0,7.0
346,38,35300000,4,4,3200.0,10.5
347,29,7000000,2,1,1500.0,10.0
348,28,27000000,3,2,1500.0,10.0
349,20,11000000,3,2,1500.0,11.0
350,20,6800000,3,2,1200.0,10.0
351,34,24800000,4,4,2500.0,7.0
352,34,21000000,4,3,2500.0,9.0
353,3,16500000,3,2,2200.0,7.1
354,25,20000000,4,4,2500.0,8.0
355,28,18000000,4,4,2200.0,7.0
356,28,18000000,3,3,2300.0,6.5
357,26,24000000,6,3,2850.0,7.0
358,3,18000000,3,3,1800.0,10.5
359,28,23000000,4,4,2800.0,9.0
360,14,128250000,4,2,2000.0,22.5
361,28,12800000,3,3,1300.0,7.9
362,20,5800000,2,1,720.0,6.0
363,9,50000000,7,4,3000.0,17.75
364,28,20000000,4,4,2500.0,10.0
365,23,140000000,9,6,2200.0,20.0
366,18,8900000,5,2,1500.0,2.5
367,28,16000000,7,4,3000.0,21.0
368,37,13500000,3,2,1600.0,6.0
369,28,14000000,5,4,1950.0,6.6
370,28,29000000,4,3,3200.0,10.5
371,20,24000000,5,3,3000.0,9.5
372,20,2800000,2,1,1200.0,5.8
373,29,15900000,4,3,2200.0,8.0
374,20,31500000,5,4,4000.0,6.0
375,34,11000000,3,1,2000.0,9.3
376,4,32000000,4,5,3223.0,6.2
377,34,40000000,4,3,3800.0,22.0
378,28,22500000,4,4,2800.0,8.0
379,38,80000000,4,4,4800.0,18.5
381,28,33000000,6,6,3900.0,12.0
382,15,525000000,4,6,11715.0,22.3
383,38,35000000,4,4,3250.0,8.0
384,35,9800000,3,2,960.0,10.0
385,12,200000000,6,4,4000.0,8.8
386,39,12500000,4,2,1520.0,4.5
387,23,30000000,3,3,2850.0,7.5
388,38,34000000,4,3,2850.0,7.5
389,28,18500000,3,2,1950.0,8.0
390,13,130000000,4,2,1850.0,23.0
391,26,29000000,6,3,2650.0,9.6
392,38,78000000,6,6,6000.0,11.3
393,34,25000000,5,4,2800.0,10.0
394,28,23000000,4,4,3000.0,8.0
395,31,41000000,3,2,2600.0,11.0
396,38,34000000,4,4,3300.0,8.0
397,22,13000000,4,3,1900.0,10.0
398,33,5900000,3,1,1200.0,12.0
399,34,21000000,4,3,2600.0,10.7
400,38,33500000,5,4,4200.0,7.0
401,26,130000000,4,3,3500.0,26.0
402,25,13000000,3,2,1400.0,8.0
403,21,13000000,3,2,2000.0,14.0
404,1,29500000,4,3,4500.0,11.0
405,25,11700000,3,2,1550.0,8.7
406,32,37500000,5,5,4000.0,6.0
407,34,12900000,3,2,1200.0,10.9
408,27,15500000,3,1,1500.0,10.8
409,30,23000000,5,5,2500.0,11.6
410,21,150000000,5,2,1600.0,13.0
411,1,7500000,3,2,1050.0,6.0
412,35,11000000,4,2,2624.0,8.5
413,25,9700000,3,2,1100.0,7.4
415,32,38500000,6,4,2900.0,9.85
416,19,11000000,5,2,1100.0,12.0
417,13,250000000,6,7,3800.0,15.0
418,32,31100000,3,2,7988.0,7.5
419,13,125000000,5,4,4200.0,12.0
