,Location,Price,Beds,Baths,House Size,Land Size
105,"Athurugiriya, Colombo",9000000,3,2,"1,500.0 sqft",10.0 perches
106,"Malabe, Colombo",30000000,5,4,"2,600.0 sqft",10.0 perches
107,"Talawatugoda, Colombo",33500000,5,4,"3,800.0 sqft",7.8 perches
108,"Angoda, Colombo",2600000,3,3,"1,800.0 sqft",12.5 perches
109,"Pannipitiya, Colombo",28500000,10,10,"2,750.0 sqft",7.0 perches
110,"Athurugiriya, Colombo",11000000,3,1,"1,800.0 sqft",20.0 perches
111,"Athurugiriya, Colombo",27500000,5,3,"3,700.0 sqft",18.5 perches
112,"Athurugiriya, Colombo",17500000,4,2,"2,200.0 sqft",6.3 perches
113,"Piliyandala, Colombo",8900000,3,2,"1,450.0 sqft",10.0 perches
114,"Piliyandala, Colombo",12000000,3,3,"1,400.0 sqft",7.75 perches
115,"Athurugiriya, Colombo",17500000,4,2,"2,470.0 sqft",10.0 perches
116,"Malabe, Colombo",18700000,3,3,"1,800.0 sqft",7.13 perches
117,"Nugegoda, Colombo",48000000,5,4,"2,750.0 sqft",20.0 perches
118,"Boralesgamuwa, Colombo",35000000,4,3,"3,100.0 sqft",6.0 perches
119,"Nugegoda, Colombo",38500000,6,4,"2,905.0 sqft",9.86 perches
120,"Boralesgamuwa, Colombo",40000000,4,3,"3,000.0 sqft",10.0 perches
121,"Rajagiriya, Colombo",65000000,5,5,"4,000.0 sqft",11.2 perches
122,"Kotte, Colombo",65000000,5,3,"3,000.0 sqft",10.0 perches
123,"Angoda, Colombo",15000000,5,2,"2,500.0 sqft",6.5 perches
124,"Talawatugoda, Colombo",23500000,4,3,"2,500.0 sqft",6.0 perches
125,"Nugegoda, Colombo",59000000,5,5,"5,500.0 sqft",12.0 perches
126,"Moratuwa, Colombo",22750000,3,3,"2,600.0 sqft",7.0 perches
127,"Malabe, Colombo",19500000,5,3,"3,000.0 sqft",9.5 perches
128,"Athurugiriya, Colombo",33500000,5,4,"4,000.0 sqft",12.0 perches
129,"Piliyandala, Colombo",9700000,2,1,700.0 sqft,6.7 perches
130,"Nugegoda, Colombo",24800000,3,2,"25,000.0 sqft",10.0 perches
131,"Piliyandala, Colombo",15400000,3,3,"1,700.0 sqft",7.0 perches
132,"Maharagama, Colombo",24500000,4,2,"2,000.0 sqft",13.4 perches
133,"Malabe, Colombo",19000000,3,3,"2,400.0 sqft",10.0 perches
134,"Ratmalana, Colombo",33000000,4,4,"2,700.0 sqft",8.0 perches
135,"Kesbewa, Colombo",11500000,3,3,"1,450.0 sqft",7.3 perches
136,"Nugegoda, Colombo",32000000,5,5,"3,500.0 sqft",8.0 perches
137,"Angoda, Colombo",13800000,5,2,"2,300.0 sqft",6.0 perches
138,"Piliyandala, Colombo",18500000,3,2,"1,800.0 sqft",22.0 perches
139,"Battaramulla, Colombo",180000000,7,7,"14,000.0 sqft",23.0 perches
140,"Moratuwa, Colombo",28000000,4,4,"3,680.0 sqft",10.0 perches
141,"Malabe, Colombo",23000000,4,3,"2,582.0 sqft",8.6 perches
142,"Kottawa, Colombo",34000000,5,3,"3,600.0 sqft",19.0 perches
143,"Malabe, Colombo",14000000,5,3,"1,950.0 sqft",6.6 perches
144,"Piliyandala, Colombo",24000000,5,4,"3,400.0 sqft",11.5 perches
145,"Malabe, Colombo",24000000,4,3,"2,800.0 sqft",7.0 perches
146,"Dehiwala, Colombo",54600000,10,6,"8,500.0 sqft",12.0 perches
147,"Kaduwela, Colombo",19500000,3,3,"2,150.0 sqft",8.6 perches
148,"Malabe, Colombo",20500000,4,3,"2,850.0 sqft",8.0 perches
149,"Nugegoda, Colombo",16500000,3,1,"3,267.0 sqft",12.0 perches
150,"Piliyandala, Colombo",4300000,3,1,"1,000.0 sqft",5.72 perches
151,"Piliyandala, Colombo",14000000,4,3,"1,800.0 sqft",11.0 perches
152,"Nugegoda, Colombo",21500000,4,3,"2,500.0 sqft",6.5 perches
153,"Dehiwala, Colombo",38000000,4,4,"3,499.0 sqft",6.0 perches
154,"Malabe, Colombo",12000000,3,2,"1,350.0 sqft",7.2 perches
155,"Maharagama, Colombo",29000000,3,1,"2,000.0 sqft",10.0 perches
156,"Padukka, Colombo",11500000,5,3,"2,552.0 sqft",15.0 perches
157,"Battaramulla, Colombo",19500000,3,3,"2,040.0 sqft",6.5 perches
158,"Piliyandala, Colombo",18500000,5,3,"2,500.0 sqft",10.0 perches
159,"Kesbewa, Colombo",22500000,4,4,"3,200.0 sqft",8.0 perches
160,"Nugegoda, Colombo",21500000,4,3,"2,500.0 sqft",6.5 perches
161,"Pannipitiya, Colombo",7300000,2,2,"1,000.0 sqft",8.0 perches
162,"Dehiwala, Colombo",38000000,4,4,"3,400.0 sqft",6.0 perches
163,"Dehiwala, Colombo",46000000,5,4,"2,850.0 sqft",7.9 perches
164,"Dehiwala, Colombo",46000000,5,4,"3,050.0 sqft",7.9 perches
165,"Dehiwala, Colombo",50000000,5,6,"3,750.0 sqft",12.0 perches
166,"Mount Lavinia, Colombo",35000000,4,3,"2,400.0 sqft",6.0 perches
167,"Nugegoda, Colombo",65000000,4,4,"4,000.0 sqft",18.12 perches
168,"Piliyandala, Colombo",21500000,4,3,"2,200.0 sqft",8.0 perches
169,"Malabe, Colombo",30000000,4,4,"2,400.0 sqft",10.0 perches
170,"Talawatugoda, Colombo",30000000,5,4,"3,500.0 sqft",7.5 perches
171,"Boralesgamuwa, Colombo",17000000,3,3,"3,500.0 sqft",9.0 perches
172,"Dehiwala, Colombo",50000000,5,6,"3,749.0 sqft",12.0 perches
173,"Mount Lavinia, Colombo",60000000,4,4,"3,450.0 sqft",6.0 perches
174,"Piliyandala, Colombo",25000000,5,2,"4,000.0 sqft",12.5 perches
175,"Homagama, Colombo",6800000,3,2,"1,200.0 sqft",10.0 perches
176,"Dehiwala, Colombo",80000000,10,10,"6,000.0 sqft",33.5 perches
177,"Malabe, Colombo",37000000,4,4,"2,900.0 sqft",10.0 perches
178,"Nugegoda, Colombo",80000000,5,4,"5,000.0 sqft",25.5 perches
179,"Kottawa, Colombo",9000000,3,2,"1,380.0 sqft",6.5 perches
