ID,Location,Price,Beds,Baths,House Size,Land Size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
141,2,28000000,4,4,3680,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
142,17,23000000,4,3,2582,8.6,1,0,0,0,1,2,1,0,1,0,1,0,1,0,0
143,1,34000000,5,3,3600,19,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0
144,17,14000000,5,3,1950,6.6,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0
145,22,24000000,5,4,3400,11.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
146,17,24000000,4,3,2800,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
148,21,19500000,3,3,2150,8.6,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0
149,17,20500000,4,3,2850,8,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
151,22,4300000,3,1,1000,5.72,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
152,22,14000000,4,3,1800,11,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0
153,31,21500000,4,3,2500,6.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
154,24,38000000,4,4,3499,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
155,17,12000000,3,2,1350,7.2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
156,16,29000000,3,1,2000,10,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
157,29,11500000,5,3,2552,15,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
158,18,19500000,3,3,2040,6.5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
159,22,18500000,5,3,2500,10,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0
160,8,22500000,4,4,3200,8,1,1,1,0,1,2,1,0,1,0,1,0,0,1,0
161,31,21500000,4,3,2500,6.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
162,28,7300000,2,2,1000,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
164,24,46000000,5,4,2850,7.9,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
165,24,46000000,5,4,3050,7.9,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
166,24,50000000,5,6,3750,12,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
167,23,35000000,4,3,2400,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
169,22,21500000,4,3,2200,8,1,1,0,0,1,2,1,1,1,0,1,0,0,0,0
170,17,30000000,4,4,2400,10,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
171,11,30000000,5,4,3500,7.5,0,0,0,1,1,3,1,1,1,0,0,0,0,1,1
172,7,17000000,3,3,3500,9,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
174,23,60000000,4,4,3450,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
175,22,25000000,5,2,4000,12.5,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0
178,17,37000000,4,4,2900,10,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0
180,1,9000000,3,2,1380,6.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
181,1,13000000,3,3,1580,8,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
182,2,19800000,4,2,2200,8.6,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
185,35,38000000,7,4,1020,3.75,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0
186,30,25000000,3,3,3500,17,0,1,0,1,1,2,1,1,1,0,0,0,0,1,0
187,31,59500000,7,5,5200,12.5,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
188,9,22500000,5,3,2400,18.5,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
190,1,24800000,4,4,2500,7,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0
191,11,21500000,4,3,2200,6.5,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
192,31,45000000,5,5,2400,10.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
193,11,32500000,4,4,3200,10,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
194,17,22500000,4,3,1883,5.5,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
195,9,31000000,4,5,4000,10,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0
196,9,8300000,2,1,1600,12,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
197,17,19000000,3,3,2400,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
198,17,11800000,3,3,1500,8,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
199,17,11000000,3,3,1300,6.5,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
202,17,18000000,4,4,2200,7,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0
203,17,23000000,4,4,2800,9,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
204,17,21000000,4,4,2450,7,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
205,22,28800000,6,5,3300,8.2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0
206,24,45000000,3,2,3500,14.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
207,10,25000000,2,2,800,6.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
210,17,20000000,4,3,2400,10,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0
212,17,21500000,4,3,2650,7,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0
213,17,11000000,3,2,1500,7,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
214,17,28500000,5,4,3800,10.5,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
215,1,12500000,3,2,1537,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
217,17,21500000,4,4,2400,6,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
218,31,37500000,5,3,3700,12,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
219,1,9500000,3,2,1100,9,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
220,16,47000000,4,3,3000,10,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0
221,17,22500000,4,4,2800,8,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
223,17,21500000,4,3,2200,6.5,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0
600,9,9975000,4,2,2200,11.23,1,0,0,0,0,2,1,1,1,0,1,0,0,0,1
601,11,32500000,4,4,3500,11,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0
602,28,13000000,3,3,1500,10.7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
603,17,22500000,4,4,2800,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
604,17,33000000,6,5,3900,12,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0
605,17,16000000,3,3,1600,10,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
606,17,11000000,3,3,1300,6.5,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
607,17,23000000,4,4,2800,9,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
608,9,13500000,3,3,1650,10,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
611,26,30000000,4,2,2600,11,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
