Unnamed: 0,0,1,2,3,4,5,6,7,8,9
1308,Three Bed Room House for Sale - Piliyandala,21 Jul 10:50 am,"Piliyandala, Colombo","15,000,000","Three bed rooms, Royal ceramic fully tiles house. Right round green mesh with two gates. Very good surrounding and environment. Batuwandara Junction to 1.5km.",Madapatha Piliyandala,3,1,"1,500.0 sqft",12.0 perches
1309,House for Sale Homagama,21 Jul 10:50 am,"Homagama, Colombo","4,500,000",128-280 ප්‍රධාන බස් මාර්ගයට කි මී 1 ක් දුරින් පිහිටා ඇත. විදුලිය නලජලය සහිතයි .කහතුඩුව අධිවේගී පිවිසුමට ආසන්නයි. වැඩි විස්තර සඳහා අමතන්න,,4,2,"1,100.0 sqft",12.0 perches
1310,Full Tiled House for Sale Dehiwala,21 Jul  9:26 am,"Dehiwala, Colombo","38,000,000","full tailed house with car parking and all attached bathroom.., new house (100mtrs for galroad ) {38million}",Dehiwala kawdana road,5,5,"3,500.0 sqft",6.5 perches
1311,Full Tiled House for Sale Nawala,21 Jul  9:24 am,"Nawala, Colombo","30,000,000",2storey house with car parking.. (30million) total price,Nawala junction,4,3,"2,500.0 sqft",6.0 perches
1312,Brand New House for Sale Wellawatte,21 Jul  9:18 am,"Colombo 6, Colombo","26,500,000",15feet road with car parking and garage,col-6 wallawatta emton lane,3,3,"1,500.0 sqft",25.0 perches
1313,Land Value Old House Dehiwala Junction,21 Jul  9:11 am,"Dehiwala, Colombo","25,000,000","old house with car parking residence area..., 2.5million",Dehiwala junction,3,2,"1,200.0 sqft",8.0 perches
1314,Newly Build Superior House for Sale in Kaduwela,21 Jul  9:08 am,"Kaduwela, Colombo","7,800,000",3 Bed Rooms1 BathroomSpecious Living Area. Dining AreaPantry Cupboard Finished with Teak Wood and Granite Top.Car Porch.Calm EnvironmentPlease Contact for More Details.,,3,1,"1,200.0 sqft",7.0 perches
1315,House on 20 Perch Land Campbell Place., 8 Aug  9:33 am,"Colombo 8, Colombo","150,000,000",• Our Reference No - SH 8757(Please quote this reference number when inquiring),"Campbell Place, Colombo 8",5,3,"5,000.0 sqft",20.0 perches
1316,Brand New House for Sale in Malabe, 4 Aug  5:38 pm,"Malabe, Colombo","11,000,000","මාලඹේ, රොබට් ගුණවර්ධන මාවත, සෙත්සිරි මාවත පිහිටි පර්චස් 7 ඉඩම සහිත අලුතින් ඉදිකරන ලද නිවස විකිණිමට ඇත.නිවස වටා තාප්පය හා ඉදිරිපස ගේට්ටුව ඇත.ඉඩම පර්චස් 07කාමර 03නාන කාමර 02මාළ⁣ඹේ නගරයට කි. මී. 1.5","Malabe, Colombo",3,2,"1,500.0 sqft",7.0 perches
1317,17 P & Modern Two Story House Sale for Maththegoda, 8 Aug  3:05 pm,"Kottawa, Colombo","18,500,000",17P & Modern Two Story House Sale For Maththegoda ,"Polgasowita Road, Maththegoda",4,3,"2,750.0 sqft",17.0 perches
1318,4 Story House Quick Sale at Chapel Lane Nugegoda,21 Jul  8:08 am,"Nugegoda, Colombo","150,000,000",4 Story House Quick Sale at Chapel Lane Nugegoda.,Chapel Lane Old Kesbewa Road Nugegoda .,9,7,"6,500.0 sqft",8.0 perches
1319,Lake Crescent Architect Designed New House For Sale in Dehiwala,21 Jul  7:55 am,"Dehiwala, Colombo","55,000,000",Lake Crescent New House For Sale Dehiwala ,"Canal Road, Dehiwala",4,3,"4,500.0 sqft",12.0 perches
1320,2 Storey Brand New 8 P House for Sale in Maharagama Twon,21 Jul  7:44 am,"Maharagama, Colombo","22,500,000",2 storey Brand New 8P House For Sale in maharagama twon,Maharagama twon,4,3,"2,550.0 sqft",8.0 perches
1321,New Luxurious Upstairs House for Sale in Malabe, 1 Aug  3:33 pm,"Malabe, Colombo","46,000,000","Just 250m to Malabe town, Food outlets, Schools, Campuses,Cinemas, Fuel stations, Banks, Shopping malls, Main bus stand, and many more in your fingertips. Calm and best residential area in Malabe. Respectable neighborhood. The house consist with Solar power hot water for all bath rooms, kitchen and pantry, 3 phase electricity, AC rooms, Large living area with balcony, Large dining area with pantry, Kitchen with Pantry cupboards, Roof top, Servant room and bath room, Overhead tank, Inside parking for 2 vehicles. Front and back garden area. Bricks wall. Remote gate.BERYL will provide you personalized, trust worthy service at all the time.",Malabe,4,4,"3,500.0 sqft",11.8 perches
1322,Two Story House for Sale in Boralasgamuwa,11 Aug 11:47 am,"Boralesgamuwa, Colombo","23,000,000",Two story house5 bed rooms2 bathrooms1 pantry1 kitchenoffice roomshine room with roof toptwo vehicle parking,Pirivena  Road  Boralesgamuwa,5,2,"2,500.0 sqft",8.6 perches
1323,6.80 P 2 Storied House for Sale in Dehiwala,21 Jul 11:50 am,"Dehiwala, Colombo","50,000,000","6.80 PERCHES BRAND NEW 2 STORIED ARCHITECT DESIGN LUXURY FOR SALE CLOSE TO KALUBOVILA HOSPITAL, WITH ALL FACILITIES, SUPER MARKET'S, SHOPPING MALLS ( KOHUWALA AND NUGEGODA ) 10 MINUTES DRIVE,  10 MINUTES DRIVE TO DEHIWALA JUNCTION AND HILL, BANK'S GOVERNMENT AND INTERNATIONAL SCHOOLS, RESTAURANT, 25 MINUTES DRIVE TO HIGHWAY.  ECT........",DEHIWALA KALUBOVILA,4,3,"3,000.0 sqft",6.8 perches
1324,Houses for Sale Deiwala,21 Jul  7:36 am,"Dehiwala, Colombo","68,000,000",3 STORY HOURES  3 UNIT CAR PARKING 20 FEET ROAD 176 BUS 300M AGENT,dehiwala kalubovila shoole lane,10,10,"3,800.0 sqft",15.0 perches
1325,Brand New Luxury House - Dehiwala,21 Jul  8:37 am,"Dehiwala, Colombo","50,000,000","7 PERCHES 2 STORIED BRAND NEW ARCHITECT DESIGNS LUXURY HOUSE IN DEHIWALA CLOSE TO KALUBOVILA HOSPITAL, WITH ALL FACILITIES. SUPPER MARKETS, SHOPPING MALLS, ( KOHUWALA AND NUGEGODA ) 10 MINUTES DRIVE, INTERNATIONAL AND GOVERNMENT SCHOOLS, RESTAURANT, BANKS, 10 MINUTES DRIVE TO DEHIWALA JUNCTION AND HILL, 25 MINUTES DRIVE TO HIGHWAY ECT......",Dehiwala Kalubovila,4,3,"3,200.0 sqft",7.0 perches
1326,2 Story New House for Sale Boralesgamuwa,21 Jul 11:11 am,"Boralesgamuwa, Colombo","29,500,000",2 Storey House For Sale in Piriwena Road Boralesgamuwa -----------Located just 600meters from the Main and is in a Highly Residential area in Boralesgamuwa,Boralesgamuwa,4,3,"3,250.0 sqft",6.5 perches
1327,A Brand New Luxury Modern House in Pannipitiya Palanwatta,20 Jul 11:56 pm,"Pannipitiya, Colombo","26,000,000",@  300m  (296) bus route  kottawa   piliyandala @  2•5km   kottawa @  3•5km  pannipitiya darmapala maha vidyala @  5km   maharagama @  4•5km  piliyandala @  4  bedrooms @  4  bathrooms @  large living area and dining area @  fully complete pantry with gas cooker @  large  tv  lobby @  large  roof terrace@  balcony @ fully tiled @  Ac@  Cctv @  hot water @  brick wall @  surrounding wall and roller gate @  very beautiful garden @  4  vehicle parking area @  better environment @  10  perched @  3600  sqpt @  no brokers  please @  only genuine buyers,,4,4,"3,600.0 sqft",10.0 perches
1328,House For sale in Piliyandala,31 Jul  6:15 pm,"Piliyandala, Colombo","9,200,000",4 years old house full finish with two car can park 2 fully a/c with living room as well cctv camara for more infomation plz call,Mihira Mawatha Piliyandala,2,1,"1,000.0 sqft",6.0 perches
1329,House for sale near the campus Wijerama Boralesgamuwa,20 Jul 10:54 pm,"Boralesgamuwa, Colombo","8,500,000",Clear documents.,,2,1,"3,000.0 sqft",4.8 perches
1330,House for Sale - Ebuldeniya.,20 Jul 10:51 pm,"Nugegoda, Colombo","19,600,000","2 Story House Quick Sale at Madiwela Road, Ebuldeniya.","Madiwela Road, Ebuldeniya.",4,4,"2,650.0 sqft",9.5 perches
1331,4 BR 2 Story House & 9.5 P for Sale in Ebuldeniya,20 Jul 10:47 pm,"Kotte, Colombo","19,600,000","2 Story House Quick Sale at Madiwela Road, Ebuldeniya.","10 meters to Madiwela Road, Ebuldeniya",4,4,"2,650.0 sqft",9.5 perches
1332,2 Story House for Sale in Piliyandala twon.,20 Jul 10:40 pm,"Piliyandala, Colombo","23,000,000",2 Story House for Sale in Piliyandala twon. 1.5 Km to Piliyandala  junctionHouse area -2650sqft ,1.5km to Piliyandala twon. Piliyandala,5,3,"2,650.0 sqft",11.9 perches
1333,Brand New Modern Luxury House In Kottawa,20 Jul 10:34 pm,"Kottawa, Colombo","26,000,000",#  300m  kottawa   piliyandala  (296) bus route #  2•5 km  kottawa #  3km   pannipitiya   darmapala   maha vidyala #  4• 5km  piliyandala # 5km  maharagama #  4  bedrooms #  4  bathrooms #  large living area and dining area #  fully complete pantry  with gas cooker #  large  TV  lobby #  fully tiled # large   roof terrace #  balcony #  Ac#  Cctv # hot water #  surrounding wall and roller gate #  very   beautiful    garden # 4  vehicle parking area #  10  perched #  3600  sqpt #  better environment #  no brokers please #  only genuine buyers,,4,4,"3,600.0 sqft",10.0 perches
1334,2Story Separate entrance House For Sale in Pepiliyana,20 Jul 10:19 pm,"Dehiwala, Colombo","44,500,000",This House is located 500meters to  Dehiwala Road pepiliyana 2Story Separate entrance House For Sale in Pepiliyana --------------------------------------------4Bed rooms 2Attached Bathroom01 common Bathrooms Servant toiletBalcony Gym roomDining and leavingPantry & KitchenParking for 3vehiclesseparate entrance  first floor.,Dehiwala Road pepiliyana,4,3,"3,100.0 sqft",9.47 perches
1335,A brand-new house in Athurugiriya,20 Jul  9:53 pm,"Athurugiriya, Colombo","16,000,000",This brand new two storied house for sale in highly residential neighborhood nearby Authurugiriya city with 500m to main bus road. 1. Facilities: 4 bedrooms and 2 bathrooms; large living room; TV lobby ; pantry; brick wall built; Servant bathroom; fully tiled ; finishing roof; hot water.2. House is fully secured by high protective wall and roller gate.3. House is directly facing to a 15 feet road.,,4,3,"2,200.0 sqft",7.0 perches
1336,House for Sale in Homagama,20 Jul  9:33 pm,"Homagama, Colombo","4,500,000",පර්චස් 6.5 ඉඩමතුල නිවාස 2 ඇත.එක්‌ නිවසක කාමර 2ක්  සහ  බාත්රූම් 1 සහ කුස්සිය සහ සාලයක් ඇත.අනෙක් නිවසේ කාමර  1ක්  සහ බාත්රූම් 1 සහ කුස්සිය සහ සාලයක් ඇත.නිවාස දෙකම ලක්ෂ 45යි හෝමාගම නගරයට 1ඉතා ඉක්මනින් විකිනීමට ඇත.,"no.186D,Uduwana Homagama",2,1,"1,100.0 sqft",6.5 perches
1337,House for Sale in Pelawatte Junction,20 Jul  7:30 pm,"Battaramulla, Colombo","49,000,000","Old House for sale or rentIn the opposite direction to the Folk Arts Center70m to parliament road300m pelawatta junction --------------------------------------බත්තරමුල්ල පැලවත්ත ජනකලා කේන්ද්‍රය ඉදිරිපිට පැරණි නිවසක් සමග ඉඩම විකිණීමට හෝ කුලියට නිවසේ කාමර 11යි (යාබද නානකාමර 10)පර්චස් 13යිපාර්ලිමේන්තු පාරට මීටර් 70යිපැලවත්ත හංදියට මීටර් 300බැංකු,ඇවිදින මන්තීරු,පාසල,රෝහල්,සුපිරි වෙළෙඳසල් ඇතුළු සියලු පහසුකම් සමඟ ආයෝජනයකට කදිම ඉඩමකි.ගෙස්ට් හවුස් හෝ වියාපාරික කටයුත්තකට සුදුසුයි.ලක්‍ෂ 500/=යිමාසික කුලිය ලක්‍ෂ 2/=යි","pelawatta,Folk Arts Center",10+,10,"5,000.0 sqft",13.0 perches
1338,House for Sale in Raththanapitiya,20 Jul  7:12 pm,"Boralesgamuwa, Colombo","14,500,000",Single story house for rent in raththanapitiya,,2,1,"1,600.0 sqft",8.0 perches
1339,House For Sale - Maharagama,28 Jul  1:48 pm,"Maharagama, Colombo","16,500,000","Kamara 4,thanimahal niwasa,adi20 para,Maharagamata 2km,Bokundarata 2km,arawwala pasala asala.Mila kathakaragatha haka,call for  more details.","arawwala,pannipitiya",4,2,"1,650.0 sqft",12.5 perches
1340,Single Story House & 16.5 P Sale at Boralesgamuwa,20 Jul  6:19 pm,"Boralesgamuwa, Colombo","28,500,000",Rs 28500000.00Negotiable,1st Lane Devalamulla Junction Boralesgamuwa,4,2,"2,500.0 sqft",16.5 perches
1341,"House for Sale in Security Zone, Millennium City, Athurugiriya",22 Jul  8:23 am,"Athurugiriya, Colombo","26,500,000","Recently build fully tiled two story house for sale in 24 hour security zone in Millennium city, AthurugiriyaOne km for Athurugiriya townTwo km for southern highway entranceClose to Malabe SLIIT, CINEC campus, Horizan international schoolLarge green pocket available in front of the houseHighly residential area6 bedroom4 Bathroom ( 3 wired for hot water)Living area, Dining and TV lobby2 verandaCar porch ( 2 vehicles can be parked)2 pantries ( upper floor & ground floor)Wet kitchenStore room/ servant room,  servant toilet2 overhead water tanks2 electricity metersSeparate entrance from outside for upper floor available from car poach ","Millennium City, Athurugiriya",6,4,"3,900.0 sqft",12.0 perches
1342,House For Sale - Nugegoda,14 Aug  9:56 am,"Nugegoda, Colombo","26,500,000","Two story house for sale in Nugegoda Maddumagewatta Housing Scheme.* 5 minutes away from from Nugegoda junction* Main hall with sitting area* Dining hall with Pantry* Kitchen * 3 Bedrooms :  One Master Bed room with attached bathroom  with hot water shower & AC  Two Bed rooms ( 1 with AC ) with 1 common bathroom , hot water shower*  One Servant bathroom* Three phase power supply * Celling Fans , good electrical fittings* Big Garage small Garden spaceTotal square ft : 1800Price : 265 Lakhs","B-15, Maddumagewatta, Nugegoda",3,3,"1,800.0 sqft",5.5 perches
1343,Brand New 2 Storied House || Malabe,20 Jul  4:38 pm,"Malabe, Colombo","18,000,000","Two Story House For Sale In Gamunupura, Kaduwela.07 Perches , Landscaped garden area ( 2 Year Used House )","Kaduwela Rd, Gamunupura.",4,4,"2,200.0 sqft",7.0 perches
1344,House New for Sale - Piliyandala,25 Jul  8:08 pm,"Piliyandala, Colombo","13,000,000",13 .millionBreand new house for sale 2 vehicle parking space 100 miter piliyandala makandana bus rd700 miter bandaragama Colombo bus rd,piliyandala makandana rd,4,3,"1,650.0 sqft",11.5 perches
1345,House for sale in Colombo - 15,23 Jul  9:25 am,"Colombo 15, Colombo","55,000,000",two storied house (4500 Sq ft). in Colombo - 15 (Centre Road),"Centre Road, Mattakkuliya",4,4,"4,500.0 sqft",15.5 perches
1346,House for Sale in - Mount Lavinia,26 Jul  8:47 pm,"Mount Lavinia, Colombo","37,500,000",OWNER MIGRATING 2 Units House ,10350. Mount Lavinia,5,5,"2,200.0 sqft",8.5 perches
1347,House For Sale - Dehiwala,20 Jul  3:38 pm,"Dehiwala, Colombo","23,000,000",Brand new  beautiful house available for sale in a prominent residential area in dehiwala.3bedrooms with attachbathrooms Servent room also walking distance to zooMore details contact us,"Span Tower 208, Quarry Road Dehiwala",3,3,"1,535.0 sqft",1.0 perches
1348,Newly Built house for sale in Prime Vilas Boralesgamuwa,15 Jul 11:06 am,"Boralesgamuwa, Colombo","32,000,000",2205 Square Feet built with red Brick2 Story House fully tiled3 BedroomFitted Kitchen2 Bathroom - 2 Space Car Park with roller GateSpacious dinning room Sitting areaLiving roomServant ToiletStore RoomLandscaped Garden,,3,2,"2,205.0 sqft",7.5 perches
1349,Brand New House for Sale - Homagama, 9 Jul  7:17 pm,"Homagama, Colombo","9,000,000",Brand new house for sale in Homagama magammana. 200m to main road.2km to homagama town( highlevel). 3km to highway entrance . 200m to food city. 1km to mahinda rajapaksha ground. 3 bed rooms and 3 bathrooms . Fully tiled. Completed pantry.Resident area. 20 ft road .,Homagama  magammana,3,3,"1,480.0 sqft",7.5 perches
1350,House for Sale in - Moratuwa,20 Jul  3:32 pm,"Moratuwa, Colombo","4,500,000",2 Bed Rooms 7.5 Perches Cll කරලා විස්තර දැන ගන්න. ,,2,1,950.0 sqft,7.5 perches
1351,02 STORY NEW HOUSE With 22 P EBULDENYA,20 Jul  3:25 pm,"Nugegoda, Colombo","100,000,000",TWO STORY MODERN HOUSE SALE AT EMBULDENEYA NUGEGODA,300 METERS TO EBULDENEYA JUNCTION NUGEGODA,6,5,"6,000.0 sqft",22.0 perches
1352,House for Sale in Wellampitiya,20 Jul  3:20 pm,"Wellampitiya, Colombo","2,700,000","Single story Brand new house,2 Bed rooms (1 Large room & small room),1 Bath room,Kitchen with pantry,Tiled floor & Roof ceiling,Behind Noorania Muslim mosque,15 ft road facing,1 km to Wallampitiya Junction,2 km to IDH Junction ,1 km to Kolonnawa Junction,Clear Title,","Haritha uyana,Megoda kolonnawa,Wallampitiya",2,1,600.0 sqft,2.0 perches
1353,House for Sale in Maharagama,20 Jul  2:47 pm,"Maharagama, Colombo","19,500,000",HOUSE FOR SALE IN MAHARAGAMA8 PERCHESHighly residential area and very calm surrounding.       For Quickly Sell,L-MAHARAGAMA-05,3,4,"1,300.0 sqft",8.0 perches
1354,Modern Three Storied House For Sale - Athurugiriya,20 Jul  2:46 pm,"Athurugiriya, Colombo","31,000,000","Brand New Three Storied House For Sale In Malabe Road, Athurugiriya.10 Perches , Landscaped garden area.","Malabe Rd, Athurugiriya.",4,5,"4,000.0 sqft",10.0 perches
1355,Brand New Two Storeyd House For Sale in Malabe,20 Jul  2:44 pm,"Malabe, Colombo","30,000,000",Brand New Two Storied House For Sale In Malabe08 Perches with Landscaped garden area.,"Athurugirya Rd , Malabe",4,4,"3,900.0 sqft",8.0 perches
1356,House for Sale in Malabe,20 Jul  2:39 pm,"Malabe, Colombo","4,700,000",මාලඹේ අරංගල කහන්තොට පාර ඉසුරු මාවතේ පර්චස් 5 ක වටතාප්ප සහිත සියලුම පහසුකම් සපිරි නිවස අධිවේගී මාර්ගයේ අතුරුගිරිය පිවිසුමට විනාඩි 20න් ළගා විය හැක.,"Arangala , Kahanthota",3,1,"1,300.0 sqft",5.0 perches
1357,Single Story House & 18 P Sale At Boralesgamuwa,20 Jul  2:33 pm,"Boralesgamuwa, Colombo","30,000,000",Rs 30000000.00Negotiable,1st Lane Devalamulla Junction Boralesgamuwa,4,2,"2,400.0 sqft",18.0 perches
1358,Luxury Living House Space - Kesbewa,22 Jul 12:00 pm,"Piliyandala, Colombo","17,800,000","House For Sale in Kesbawa6.2P4 Rooms2 Bath Rooms1930 SqftA/C, Hot Water and CCTVRs.18,500,000/=",Kesbewa,4,2,"1,930.0 sqft",6.2 perches
1359,House for Sale in - Kahathuduwa,20 Jul  2:22 pm,"Piliyandala, Colombo","4,400,000","Wenivelkola,School Road, 1.5 Km Horana Colombo Road.",,2,1,"1,100.0 sqft",10.0 perches
1360,Half Built Two Story House for Sale in - Kaduwela,20 Jul  2:14 pm,"Kaduwela, Colombo","4,000,000",Halfly Built Two Story House for Sale in Nawagamuwa.1km from Nawagamuwa Dewalaya Junction.,,3,1,"1,200.0 sqft",10.0 perches
1361,Newly Built House for Sale in Navinna,20 Jul  2:03 pm,"Maharagama, Colombo","55,000,000","5 BedRooms. 4 bathrooms (2 attached). servent bathroom and servent bedroom# Tv lobby, dining hall,Beautiful modern kitchen, Pantry cupboards. Solar hot water,cctv, roller gate,# 3 Veranda, Landscaped Garden. Open concept. # vehicles parking space is 1 or 2, tow roller shutter. # 1500 sqft roof top, aluminum sliding windows # doors Genuine wood teak # 1. 3 km to maharagama # 500 meters to Navinna. # 20 meters to Polwaththa rd# Face to 20 feet carpet road",navinna,5,4,"4,100.0 sqft",11.0 perches
1362,Athurugiriya 3 Store House,23 Jul  6:00 pm,"Athurugiriya, Colombo","22,000,000",07 Bedrooms 02 Bathrooms Large Living RoomDining / Kitchen with Pantry Cupboard Beautifully Garden 7 Vehicles Parking Space Approved DocumentsRoller GateBounded Beautiful Faddy Field Water/ Electricity/ Telephone Highly Residential Area1 km to Main Road1.5 km to Athurugiriya Police Station 2.4 km to Athurugiriya Junction 3.1 km to Habarakada Junction 3.6 km to Athurugiriya Highway   Entrance Price 20.2M,Athurugiriya,7,2,"3,300.0 sqft",17.0 perches
1363,Luxury New House For Sale (Three Square ) -Gothatuwa,20 Jul  1:25 pm,"Kolonnawa, Colombo","25,000,000",02 Kitchen 04 Balcony  (Front and Behind)Dining rooms Stores roomHot water CCTV Camara Full safety place Flooding does not take place 50 miter for Town 10 miter for main road And lot of others facilities,Gothatuwa new town,4,2,"3,200.0 sqft",6.5 perches
1364,Land with Part Completed House for Sale - Boralesgamuwa, 4 Aug  5:56 pm,"Boralesgamuwa, Colombo","11,500,000","100m to Colombo Horana bus route200m to Boralesgamuwa Junction2 bed rooms courtyard kitchen dinning living area , part completed house ( 3 story structure )Titanium flooring , car park",Boralesgamuwa,2,1,"1,100.0 sqft",5.0 perches
1365,Luxury House for Sale - Boralesgamuwa,20 Jul 10:08 pm,"Boralesgamuwa, Colombo","31,500,000","Ultra modern super luxury house in borelesgamuwa--------------600m to Borelesgamuwa  Junction 200 meters to Maharagama Road House Made By Bricks Wall(High Standard) 3phase ElectricitySpecious and stunning roof top terrace and lobby   Roller shutterGarden CCTVSolar Hot Water Servant Room Servant Bath Room Parking facility available For 4 Vehicle All amenites areas are nearby Attached bathrooms Living, Dining, Kitchen  4 Generous size  bed BedroomsSolid timber  Doors ,Windows And kitchen cabinetsUnique smart home featuresRemotely operative lighting system for turn lights on before entering the houseUSB charge ports every room &, bathroomsSmoke & fire detect stations on every floorMotion active micro sensored step lights for stair caseTwo way pole switches for A/CsColor changing ambient lights for out doorsWater filtering stationsCount down thermal timer for iron tableProvision for back up generatorProvision. For electrical car charging portUltra Moden European Kitchen fitted with handle free touch operative kitchen cabinets, slide out twin motor cooker hood ,glass flash back & glass cook topRechargeable pest control systemDedicated rubbish storing areaCental gas storage areMechnicaly ventilated superhygine bathrooms",,4,3,"3,700.0 sqft",6.5 perches
1366,2 Houses For Sale Immediately Athurugiriya,25 Jul  2:40 am,"Athurugiriya, Colombo","6,500,000","Wada nima u Niwsak saha wada siyalla awsana nou Niwsak wikinimata atha, adi 15 paara, Athurugiriya -pore Highway ekata 100m, Athurugiriyta 2km, niwasa dekama Laksha 65 Mila gnan sakachcha karagnna puluwn.",,4,2,840.0 sqft,8.0 perches
1367,House for Sale in - Kolonnawa,25 Jul  5:48 pm,"Colombo 4, Colombo","5,900,000","House for Sale with Land at Megoda, Kolonnawa. House Is Good Condition, with Roller Gate.50 Meters from Main Road.",Megoda Kolonnawa,2,2,"1,080.0 sqft",4.0 perches
1368,House For Sale In Moratuwa,20 Jul 12:24 pm,"Moratuwa, Colombo","6,000,000","House For Sale In Moratuwa, 2 Bed Rooms, Complete Pantry, Attach Bath Room, 1.5 km To Moratuwa Town, 500 M To Old Galle Road, Fully Tiled House.","75/39, Sri Chandrasekara Road, Horethuduwa, Moratuwa.",2,1,"1,500.0 sqft",8.0 perches
1369,Brand New 3 Storey House for Sale - Col-6 Wallawatta,25 Jul  3:40 pm,"Colombo 6, Colombo","27,500,000","3storey house full tailed., brand new condition and garage with car parking.., servant room and toilet separate.  20feet road... 27.5 million",col-6 wallawatta,3,3,"1,500.0 sqft",2.5 perches
1370,B New Two Storey House - Malabe,20 Jul 12:09 pm,"Malabe, Colombo","26,000,000","Brand New Two storied house @ Rathnarama Road, Malabe.08 Perches with Landscaped garden area.• - 4000 Sq. Ft.","Rathnarama Road, Malabe",5,5,"2,800.0 sqft",8.0 perches
1371,Two Storied House For Sale in Talawatugoda,20 Jul  1:21 pm,"Talawatugoda, Colombo","57,500,000",2 storied Luxury Modern House house For Sale in ||  Thalawathugoda. On 20 Perch Land,"Uthuwankanda Road, Thalawathugoda",5,5,"3,800.0 sqft",20.0 perches
1372,B / New Two Storied House in Malabe,20 Jul  1:40 pm,"Kottawa, Colombo","19,000,000","Brand New Two Story House For Sale In Wanaguru Mw, Hokandara.10 Perches , Landscaped garden area","Horahena Rd, Malabe",3,3,"2,400.0 sqft",10.0 perches
1373,B / New 2 Storied House - Thalawathugoda,20 Jul  1:49 pm,"Talawatugoda, Colombo","21,500,000","B / New 2 story house ||  Hokandara Road, Thalawathugoda.6.5 Perches with Landscaped garden area.","Thalawathugoda Rd, Hokandara",4,3,"2,200.0 sqft",6.5 perches
1374,B / New Two Storied House For Sale in Malabe,20 Jul  1:55 pm,"Malabe, Colombo","21,500,000","Brand New 2 Storied House For Sale In Pothuarawa Road, Malabe.08 Perches with Landscaped garden area.The house is completely tiled","Hokandara Road, Arangala.",4,4,"2,650.0 sqft",7.0 perches
1375,House for Sale in Nugegoda, 2 Aug  2:37 pm,"Nugegoda, Colombo","70,000,000","1 KM from Nugegoda junction,at Dewala Road.In ahighly residential area with a dead-end 20ft approach road.Walking distance to Banks, Super markets,International and Government schools.Two storey house could be used as two units with separate entrances.Open sitting area ,separate wet Kitchen,maid’s room and bath room.Fully equipped pantry.Entire house is provided with separate air conditioning units,35feet Swimming pool.Hot water and electricity supply by solar powewhich is still under warranty.Parking for 3 vehicles.",,6,5,"3,450.0 sqft",20.0 perches
1376,Brand New Super Luxury House for Sale in Malabe,14 Aug 11:54 am,"Malabe, Colombo","28,500,000","Brand new 2 Storey House For Sale in Malabe to Athurugiriya rd, Arangala junction, Hokandara Rd","Malabe, Arangala junction",5,4,"3,800.0 sqft",10.5 perches
1377,02 Story House Sale At Temple Road kibulawela,20 Jul 11:36 am,"Kotte, Colombo","30,000,000",Two Story House Sale For Facing 20 Feet Temple Road kibulawela Kotte,Temple Road kibulawela Kotte,3,3,"3,000.0 sqft",9.5 perches
1378,02 Story House & 23.8 P Sale Wejerama,19 Jul  8:53 am,"Nugegoda, Colombo","47,500,000",Rs 47500000.00 LAKHSTOTAL PRICENegotiable,RUBBER WATHA ROAD WEJERAMA NUGEGODA,6,2,"3,500.0 sqft",23.8 perches
1379,Two Storey House for Sale Piliyandala Town,19 Jul  8:43 am,"Piliyandala, Colombo","12,000,000","3 Bedrooms (Master bedroom with A/C)Study room,Kitchen with pantry,3 Bathrooms with hot water,Remote role gate,CCTV camera (inside & outside)Parking space for 2 vehicles,400 Meters to the main road, (2 roads ways to the house)Near to P&S, Arpico super center,Keells Supermarket, Laugfs Supermarket, Cargill’s supermarket, Int schools, Nilkamal Co, Britol Co, 1800 Meters to Piliyandala Town. (From Gedabuwana)Name: Sampath / RuwanPrice Rs.LK 120/=6 Perches1900 square feet house",Residential,3,3,"1,900.0 sqft",6.0 perches
1380,"2BR House for Sale in Delkada Junction, Nugegoda",19 Jul  8:35 am,"Nugegoda, Colombo","23,000,000","2BR House for Sale in Delkada Junction7 Perches1500 Sq.Ft.2 Bedrooms2 Attached BathroomsLiving RoomPantryParking Space for 1 VehicleClear Deeds (Lady Own House)This House Structure was Established for 2 Storied HouseTherefore, Anyone can Renovate Easily Under the Minimum Cost20Ft. Access RoadVery Close to Sujatha Girls College100m to High-Level RoadUrgent Sale or RentNo BrokersRent: Rs.50,000 Per MonthSelling Price: Rs.23 MillionCall for More Details",Delkada Junction,2,2,"1,500.0 sqft",7.0 perches
1381,Brand new house for sale koswatta,19 Jul  8:12 am,"Nawala, Colombo","110,000,000",Brand new house 6bedrooms all attached bathroom with car parking.  full residence area ( 1.10 million) total price.. waiting for good buyer,Nawala koswatta,6,6,"5,000.0 sqft",6.0 perches
1382,2 Story New House for Sale Athurugiriya Road----Malabe,19 Jul  8:04 am,"Malabe, Colombo","13,500,000","2 Story New House for Sale in Athurugiriya Road,Malabe500 meters to Athurugiriya Road Athurugiriya - malabe bus Routes.6.5Perches Land with 18 ft Road Access.Close to malabe ,Athurugiriya ,Kottawa Living / Dining/ Pantry & Kitchen / 3Bed Rooms, 2 Bath Rooms.Servant Toilet Lobbies & Balconies.Good investment.More than 1850 Sq.ft. with, BalconiesPrice 135Lakhs (13.5Million) (Negotiable)Please Call For Seen on Appointments.More information and pricesGenuine Buyers Only.....NO BROKERS PLEASE",500 meters to Athurugiriya Road Athurugiriya - malabe bus Routes.,3,3,"1,850.0 sqft",6.5 perches
