Unnamed: 0,0,1,2,3,4,5,6,7,8,9
38,Brand New House For Sale In Athurugiriya,17 Jul 11:39 pm,"Athurugiriya, Colombo","10,900,000",Brand new house for sale close athurugiriya millenium city.500 meters to main road.3 bed room.2 bath room and servent bath room.pantry cupbourds with mahogany.finishing roof.Elcardo Roller door with 10 year warranty.hot water.3 vehicle can be park.20 feet access road.CCTV Cameras.landscape garden with grass and interlock paving blocks.Ac provisions to 3 bed rooms.washing mechi e room.out side sink area.2 x 2 tiling .all door and window frames are teak.door and windoors are treated mahogany.thulan timber for finishing roof.allumium roof guters and flashing.good residencial area.,Athurugiriya close millenium city,3,3,"1,450.0 sqft",10.5 perches
39,"House Property for Sale in Mahalwarawa, Pannipitiya.",16 Aug  5:00 pm,"Pannipitiya, Colombo","29,000,000","Available for Two Storied Architect Designed Furnished House for Sale in Mahalwarawa, Pannipitiya with basement. Designed for spacious living with enough lighting and ventilation. About 650 m to High Level Road and 1.25 Km to Kottawa Town,  3 Km to Southern Highly Highway Entrance/ Makumbura Multimodal Transport Hub.",Mahalwarawa Road,3,2,"5,000.0 sqft",15.0 perches
40,B / New Two Storied House For Sale in || Talawatugoda,16 Aug  4:59 pm,"Talawatugoda, Colombo","34,000,000",B / New Luxury House For Sale in Hokandara Road || Thalawathugoda.08 Perches With Landscaped Garden Area.,"Hokadara Rd, Thalawathugoda",4,4,"3,300.0 sqft",8.0 perches
41,Brand New Luxury House for Sale in Thalawathugoda,16 Aug  4:58 pm,"Talawatugoda, Colombo","120,000,000","Brand New Luxury House built on 15 Perches land for sale in Thalawathugoda. Consists whole 7,500 sq.ft with 5 Large bedrooms, attached Baths, well laid out Living /Dining areas, 2 pantries, Separate Maid’s & Driver’s quarters, Roof Terrace with Gym & Bar facilities, Secure balconies for maximum light & ventilation in living areas, & parking for 5 vehicles.",,5,5,"7,500.0 sqft",15.0 perches
42,House for Sale - Kesbewa,15 Aug  4:56 pm,"Kesbewa, Colombo","9,200,000",******පදිංචි නොවූ නව නිවසක් විකිනීමට තිබේ*****  කහතුඩුව අධිවේගී පිවිසුමට මීටර් 650යි. ( 120 හොරණ කොළඹ ප්‍රධාන මාර්ගයට )                 * 138/2 බස් මර්ගයට මුහුණලා ඇත.               * නළ ජලය / විදුලිය / බැංකු ණය පහසුකම්               * සම්පූර්ණ ටයිල් කර ඇත. වට තාප්ප ගසා  ඇත   බාත් රූම් සෙටින් වලට වසර 20 ක වගකීමක්   ජනෙල් උලුවහු සහ වහලයේ ලී සදහා වසර 40 ක වගකීමක් සහිතව විකිනේ..    වැඩි විස්තර සදහා අමතන්න...,"සරණංකර මවත, පොල්ගස්සෝවිට.",3,1,"1,300.0 sqft",7.0 perches
43,Newly Built house for sale in Prime Vilas Boralesgamuwa,15 Jul 11:06 am,"Boralesgamuwa, Colombo","32,000,000",2205 Square Feet built with red Brick2 Story House fully tiled3 BedroomFitted Kitchen2 Bathroom - 2 Space Car Park with roller GateSpacious dinning room Sitting areaLiving roomServant ToiletStore RoomLandscaped Garden,,3,2,"2,205.0 sqft",7.5 perches
44,B/New Single Storied House Athurugiriya,16 Aug  4:52 pm,"Athurugiriya, Colombo","13,500,000","B / New Single Story House For Sale In Galwarusawa Road, Athurugiriya.10 Perches Landscaped garden area.","Galwarusawa Rd, Athurugiriya.",3,3,"1,650.0 sqft",10.0 perches
45,House for Sale - Moratuwa, 9 Aug  8:38 pm,"Moratuwa, Colombo","4,000,000",Have a one annex 2 Bed Room1 Barth Room1.5 km from Galle Road to kademulla1 Km to railway stationගාලු පාරේ සිට කිලෝමිට්ර් 1.5 දුම්රරීය ඉස්තානයට 1 කිලෝමිට්ර්යයි සම්පුර්ණ ගෙය ටයිල් කර ඈත තාප්පයෙන් වටවී ඈතමුළු ඉඩම පර් 4 කී සාලය /කාමර 2 /කුස්සිය / බාත්රුම් සමග වෙනම අනෙක්ස් එකක් ඇත (කුස්සිය සමග),"207/A kaldemulla Road, Kaldemulla, Moratuwa.",2,1,"1,080.0 sqft",4.0 perches
46,2 Storied House For Sale in || Battaramulla,16 Aug  4:46 pm,"Battaramulla, Colombo","22,800,000","2 storied house Thalangama Battaramulla. On 5.5 Perch LandBattaramulla Road, Thalangama. ( 3 Year Used House with all furniture ) )* 1885 Sqft• - 04 bed rooms ( 2 A/C Rooms )• - 03 Bath rooms , • - 03 Balcony s ,• - Servant room • - Washing Machine room,• - 02 sets of Pantry cupboards,• - TV lounge, • - Car poach• - Hot water , A/C, • - WiFi , Dialog TV• - 02 small balcony s, Beautiful portico, • - Brick Walls • - Terrace With Small Room• - Living and Dining area kitchen, • - Roller shutter gate , ","Battaramulla Rd, Thalangama.",4,4,"1,885.0 sqft",5.5 perches
47,House In Moratuwa,25 Jul  1:55 pm,"Moratuwa, Colombo","11,000,000",# වලාන පාලම පසු  කර මොරටුව දෙසට ඇති වටරවුමෙන් කොරලවැල්ල පාරෙ ම්. 500 # ජස්ටින් ඩයස් මාවතෙ # අඩි 20 පාර# වම්  පස 4 වෙනි නිවස # 2 වැරන්ඩාස් # සම්පූර්න ටය්ල් කර ඇත# ල්ය්සියම් පාසලට ආසන්නව # peo tv and telecom line# පිරුසිදු ඔප්පු # ලක්ෂ 110,"Justine dias mw , egoda uyana , moratuwa",3,2,"1,900.0 sqft",9.5 perches
48,Brand New Luxury House for Sale in Malabe,16 Aug  4:43 pm,"Malabe, Colombo","18,750,000","Now you have an incredible opportunity to buy this gorgeous house recently developed by EMS conveniently located within close proximity to all day to day conveniences. This 2 story house built on 6.5 Perches Land and approx. 2,600 Sq.Ft.",Kahantota Road,3,2,"2,600.0 sqft",6.5 perches
49,Brand New 3 Bedroom House in Prime City Athurigiriya,15 Aug  6:23 pm,"Athurugiriya, Colombo","11,000,000",Brand New 3 Bedroom House in Prime City Athurigiriya Prime Safe Residential Location.,Prime City Athurugiriya,3,2,990.0 sqft,6.0 perches
50,Brand new & Elegant 4 Bed room house for sale in Borelesgamuwa,16 Aug  4:38 pm,"Boralesgamuwa, Colombo","31,000,000",Brand new & Elegant 4 Bed room house for sale in Borelesgamuwa,Borelesgamuwa,4,3,"2,500.0 sqft",6.5 perches
51,Architecturally Designed House for Sale - Nugegoda,13 Jul  8:37 pm,"Nugegoda, Colombo","32,000,000",-	Three story house-	9.7 perches-	4 bedrooms-	2 bathrooms-	Servants quarters with separate bathroom-	Parking 2-3 vehicles-	Indoor courtyard-	3 phase electricity-	Pantry-	overhead water storage-	Floor area 3000sq feet-	1 large balcony for entertainment and 2 smaller balconies.-	Rooftop covered terrace for entertainment-	High walls around the house with gate.-	Walking distance to nugegoda & pitakotte junction-	Separate storage area-	Price Rs.32Million-	Please call to arrange a time to inspect the house.,"Pagoda, Nugegoda",4,2,"3,000.0 sqft",9.7 perches
52,Newly Finish House for Sale in - Mattakuliya,16 Aug  4:24 pm,"Colombo 15, Colombo","12,000,000",Newly Done House for Sale for Immediate Occupancy. Located in Crow Island - Colombo 15. Two Bed Rooms and Two Bathrooms. Fully Tiled Floors.,,2,2,"1,600.0 sqft",5.0 perches
53,A Brand New Luxury Modern House in Pannipitiya Palanwatta,20 Jul 11:56 pm,"Pannipitiya, Colombo","26,000,000",@  300m  (296) bus route  kottawa   piliyandala @  2•5km   kottawa @  3•5km  pannipitiya darmapala maha vidyala @  5km   maharagama @  4•5km  piliyandala @  4  bedrooms @  4  bathrooms @  large living area and dining area @  fully complete pantry with gas cooker @  large  tv  lobby @  large  roof terrace@  balcony @ fully tiled @  Ac@  Cctv @  hot water @  brick wall @  surrounding wall and roller gate @  very beautiful garden @  4  vehicle parking area @  better environment @  10  perched @  3600  sqpt @  no brokers  please @  only genuine buyers,,4,4,"3,600.0 sqft",10.0 perches
