,Location,Price,Beds,Baths,House Size,Land Size
243,Malabe,33000000,6,6,3900.0,12.0
244,Kolonnawa,11000000,3,2,1633.0,7.5
245,Malabe,16000000,3,3,1600.0,10.0
246,Colombo 5,5500000,3,2,2000.0,2.0
247,Malabe,21500000,4,3,2200.0,6.5
248,Malabe,24000000,4,4,2650.0,8.0
249,Malabe,11800000,3,3,1500.0,8.0
250,Athurugiriya,7200000,2,1,950.0,6.0
251,Kottawa,18500000,5,4,2600.0,9.7
252,Malabe,19000000,3,3,2400.0,10.0
253,Mount Lavinia,65000000,7,6,5000.0,18.0
254,Malabe,28500000,5,4,3800.0,10.5
255,Malabe,33000000,6,6,3800.0,12.0
256,Malabe,24000000,4,4,2900.0,7.0
257,Rajagiriya,65000000,5,4,3500.0,12.0
258,Malabe,25800000,4,3,3400.0,8.5
259,Talawatugoda,45000000,3,2,3000.0,11.5
260,Dehiwala,37000000,4,5,4000.0,10.0
261,Malabe,16000000,3,3,1600.0,10.0
262,Battaramulla,180000000,9,10,18300.0,60.26
263,Malabe,21000000,4,4,24520.0,7.0
264,Athurugiriya,31000000,4,5,4000.0,10.0
265,Malabe,23000000,4,4,2800.0,9.0
266,Malabe,18000000,4,4,2200.0,7.0
267,Homagama,18500000,4,4,2382.0,8.5
268,Maharagama,27000000,4,2,2500.0,8.35
269,Malabe,19000000,3,3,2400.0,10.0
270,Malabe,22500000,4,4,2800.0,8.0
271,Malabe,19000000,3,3,2400.0,10.0
272,Malabe,26000000,5,4,3300.0,8.0
273,Malabe,11000000,3,3,1300.0,6.5
274,Malabe,28500000,5,4,3500.0,10.0
275,Athurugiriya,7900000,2,1,1300.0,12.0
276,Homagama,18000000,5,3,3000.0,10.0
277,Nugegoda,43000000,5,4,3209.0,7.85
278,Maharagama,18000000,2,2,1500.0,11.25
279,Boralesgamuwa,21000000,4,2,2500.0,16.0
280,Malabe,21000000,4,4,2800.0,7.5
281,Malabe,51000000,3,4,4000.0,27.1
282,Athurugiriya,8000000,2,1,1200.0,10.0
283,Malabe,22500000,4,4,2800.0,8.0
284,Malabe,18000000,4,4,2450.0,7.0
285,Malabe,42500000,5,3,3500.0,17.0
286,Malabe,21500000,4,3,2850.0,6.0
287,Malabe,21000000,4,3,2850.0,7.0
288,Maharagama,42000000,5,3,4100.0,14.3
289,Malabe,21000000,4,4,2850.0,7.5
