,0,1,2,3,4,5,6,7,8
26,Furnished Studio Apartment for Rent - Rajagiriya,11 Jul 10:12 pm,"Rajagiriya, Colombo","40,000","RAJAGIRIYA- Gothatuwa Rd. Fully Furnished, independent upstairs apartment with large bedroom, sitting/dining/pantry, toilet, balcony overlooking garden and a single garage. Available for immediate occupation. For inspection call .",1,1,400 sqft,
27,Large Apartment for Rent in Rajagiriya, 8 Jul  1:03 pm,"Rajagiriya, Colombo","350,000","- 3 bedrooms and 3 bathrooms - office room - maids room and toilet - 2200 sqft - Fully Furnished- Large living and dining area - swimming pool and gym,- roof top area, kids play area - food city, cafe area, - tennis court, basketball court ",3,3,"2,200 sqft",
28,Apartment for Rent in Rajagiriya (949 B/2 ),28 Jun 11:36 am,"Rajagiriya, Colombo","100,000",First Floor available with Two Bedrooms and Two Bathrooms (one attached and one common) 1000 Sqft,NAWALA ROAD,2,2,"1,000 sqft"
29,Large 3BR Apartment | Rajagiriya - Iconic For Rent, 8 Jul  1:03 pm,"Rajagiriya, Colombo","350,000",Large Apartment For Rent in Rajagiriya - Iconic Residencies ,Parliament Road Rajagiriya,3,3,"2,200 sqft"
30,Apartment for Rent in Rajagiriya (949 B/1 ),26 Jun 10:20 am,"Rajagiriya, Colombo","120,000",Third Floor available with Three Bedrooms and Two Bathrooms (one attached and one common) 1200 Sqft,NAWALA ROAD,3,2,"1,200 sqft"
31,Fully Furnished 4 Bedroom Iconic Apartment for Rent - Kotte,22 Jun  1:12 pm,"Rajagiriya, Colombo","350,000","This 9th floor beautiful and spacious apartment has Living room, Dinning room, Kitchen, four Bedrooms (two with attached bathroom), three bathrooms, maids quarters with separate bathroom. The apartment complex has a beautiful view of the National Bird Sanctuary and has the following facilities: Mini super market, Swimming pool, Gym, Spa, Rooftop Garden, Tennis Court, Table Tennis and more.","110 Parliament Road, Sri Jayawardenepura Kotte",4,3,"2,200 sqft"
32,Apartment for Rent in Rajagiriya (723 B/1),22 Jun  9:34 am,"Rajagiriya, Colombo","180,000",Higher Floor available with Three bedrooms (wall Cupboards an Dressing Tables) and Two bathrooms (One attached and One common)1700 square feet  ,RAJAGIRIYA,3,2,"1,700 sqft"
33,Rajagiriya Fairway Skygarden 2 BR Apartment For Rent,21 Jun  3:22 pm,"Rajagiriya, Colombo","175,000",2 Bedrooms2 Bathrooms1300 Square FeetFully Furnished,"Budhgamuwa Road, Rajagiriya",2,2,"1,300 sqft"
34,Apartment For Couples Or University Students In Rajagiriya,20 Jun  1:48 pm,"Rajagiriya, Colombo","45,000","2 Bed roome, one sitting room, pantry with, seperate entrance, electricity and water bills, parking space.","No.98/2A, Moragasmulla road, Rajagiriya",4,1,950 sqft
35,Luxury Apartment for Rent in Rajagiriya (1153 B),20 Jun  1:34 pm,"Rajagiriya, Colombo","260,000",Luxury apartment with three bedrooms and three bathrooms1606 square feet,RAJAGIRIYA,3,3,"1,606 sqft"
