,0,1,2,3,4,5,6,7,8
29,Nuwara Eliya Holiday Home for Rent, 6 Jul  9:35 pm,"Nuwara Eliya, Nuwara Eliya","6,000","This 3 bedroom house is the  right budget place. Located 1 km from Gregory Lake and 3 km from the town center. Furnished living room, kitchen facility and 1 bathroom with hot shower. Can accommodate 10-15 guests in sharing basis. Very quiet area. Rs.6000/- Rs.9000/(Rate depend on number of guests)",Moon Plains Road,Holiday bungalow,3,1
30,Cottages Rent - Nuwara Eliya,16 Jul  5:25 am,"Nuwara Eliya, Nuwara Eliya","3,500",Abewela road 5 MINUTE to nuwaraeliya sides seen Abewela farm. worlds end. kandeela .hotenplans. bout Service. 5 MINUTE  to abewela railway station double cottage. triple cottages. and family cottages. with  meals babaque facilities beautiful place come and enjoy jayasinghe cottage mipinipana abewela road. nuwaraeliya.,Abewela road MIPILIMANA Nuwaraeliya,Holiday bungalow,2,1
31,Holiday Home in Nuwara Eliya,10 Jul  6:49 pm,"Nuwara Eliya, Nuwara Eliya","2,500","The bungalow is conveniently located just 20 meters off main road  & race course. Only 300 meters from the city and 250 meters from Victoria Park.  Very close to leading restaurants, fruit market and bu stand.The bungalow consists of 3 double bedrooms with attached bathrooms. The furnished living room with a television and a pantry with cooking facility. Garden area with parking space.Can stay 6 guests comfortably and accommodation available for up to 15 guests with sharing basis. Meals available.Double Room Rs.2500/Entire bungalow  Rs.8000/- Rs.12000/",Holiday bungalow,3,3,
32,Thakshila Holiday Home,10 Jul  5:59 pm,"Nuwara Eliya, Nuwara Eliya","15,000","Thakshila Holiday Bungalow is located at Shanthipura which is the Sri Lanka's highest village from Sea level (15 minutes from Nuwaraeliya town). From here you can see the highest house from Sea level. There is a place called Kalapura, in Shanthipura where there is a Summer Hut where you can watch surroundings of Piduruthalaga, Adams Peak (Sripada Kanda), Gregary's lake, Hakkgala mountain and Nuwaraeliya town.Four large bed rooms with two double beds and attached bathrooms with hot water. Three rooms with a double bed and drivers/caretakers room with a double bed (Total rooms are 8). Blankets, Iron and a room heater available.Whole house is full carpeted. Fully furnished living room with Dialog TV.Kitchen with cooking equipment including a Barbecue machineRate for the full house Rs.15000/Additional Rs.600/ for the usage of the kitchen facility","Shanthipura , Nuwara Eliya",Holiday bungalow,7,5
33,Holiday House In Nuwara Eliya,10 Jul 10:08 am,"Nuwara Eliya, Nuwara Eliya",500,Upstairs house with separate entrance Two bedroom Kitchen with equipment living room with t.vWash room with hot water Vehicle parking space ,Other,5,1,
34,"Balcony, Tv Room with George Lake View - Nuwaraeliya",10 Jul  9:09 am,"Nuwara Eliya, Nuwara Eliya","2,500","Balcony Room,Bathroom Hotshower TV, **Double room 2500,***Triple Room 3000,",Lake View Holiday Home,Seasonal room,2,1
35,Black Wood Villa - Nuwaraeliya, 9 Jul  5:23 pm,"Nuwara Eliya, Nuwara Eliya","8,000","*Over looking a tea esate *Two story house (separate entrance )*4 bedrooms in upper floor 2 attached bathrooms ,1 common bathroom )*3 bedrooms in ground floor (1 attached bathroom, 1 common bathroom )*Each floor has kitchen (gas cooker ,rice cooker ,fridge and all the other utensils )Living area ,dining area .*Large open varanda facing a lawn*Walking distance to the Lake Gregory *Parking for 3 vehicles *10 minutes drive from Nuwaraeliya town .*Cooked meals can be provide Upper floor - 8000/=Ground floor  -8000/=",Holiday bungalow,7,5,
36,The Wood Cabana Nuwaraeliya, 9 Jul  3:15 pm,"Nuwara Eliya, Nuwara Eliya","5,000",02 bedrooms01 bathroom with hotwater TV hall balcony Pantry 05 person can accomadate comfortably   Full cabin 5000,"No70, Mahinda Mawatha. Hawaeliya",Apartment,2,1
37,Villa In Nuwara Eliya for rent, 9 Jul 11:52 am,"Nuwara Eliya, Nuwara Eliya","6,000","They are verry luxury and new one,10rooms with attached  bathroom 24 hours  hotwater full tiles and curpet kitchen is verry cleanable they have kitchen accessorys ,protect car park in theyre with 24 hours c.c.tv,bialog t.v have,they have comfortable living areya dining room ,B,B,Q mashine have,we can give hairer for van,you can easy to go ambewla ,hortanplains ,pidurutalagala and they have shortcut in hukgala and seetha amman  kovill .plz contacts us if you can get more information .","no8,ruwaneliya ,nuwaraeliy",Holiday bungalow,10,10
38,Vintage Courtyard Hotel Nuwara Eliya, 9 Jul 10:40 am,"Nuwara Eliya, Nuwara Eliya","3,000","Vintage Hotel provides comfortable rooms for very nominal rates. The large bedroom comes with an en-suite bathroom, living space and fitted with a flat screen television. Located right in front of Nuwara Eliya city board on Kandy Road and 5 minutes to the city center. Large parking space, restaurant with seating capacity for 30 guests. Can stay more than 50 guests. Double Room     Rs.3000/- Rs.4000/Family Rooms    Rs.3500/- Rs.4500/",Holiday bungalow,10+,10+,
39,Budget Rooms or Houses - Nuwara Eliya, 9 Jul  7:44 am,"Nuwara Eliya, Nuwara Eliya",750,"Budget Rooms,Family Rooms,Balcony T. V With Rooms,4 Bedroom House,",Lake View Holiday Home,Seasonal room,1,1
40,Luxury Apartment in - Nuwara Eliya, 8 Jul  1:19 pm,"Nuwara Eliya, Nuwara Eliya","10,500",Tenko Luxury Apartment Nuwara Eliya.,"No:33, Glenfall Road, Nuwara Eliya",Apartment,2,2
41,Balcony Room, 7 Jul 11:52 am,"Nuwara Eliya, Nuwara Eliya","1,500","Balcony triple room,Bathroom Hotshower TVNear Gregory lakePer person 1000/=",NUWARAELIYA,Seasonal room,2,1
42,Nuwara Eliya Holiday Home for Rent, 6 Jul  9:35 pm,"Nuwara Eliya, Nuwara Eliya","6,000","This 3 bedroom house is the  right budget place. Located 1 km from Gregory Lake and 3 km from the town center. Furnished living room, kitchen facility and 1 bathroom with hot shower. Can accommodate 10-15 guests in sharing basis. Very quiet area. Rs.6000/- Rs.9000/(Rate depend on number of guests)",Moon Plains Road,Holiday bungalow,3,1
43,House for Rent Dailly Basic in - Nuwaraeliya, 6 Jul  7:13 am,"Nuwara Eliya, Nuwara Eliya","1,500",4 Bedroom 2 bathroomHotshowerKitchen with gas and equipmentSitting area with T. VCar parkingකාමර 4 තනි නිවස  නාන කාමර 2 සමඟ උණු වතුර පහසුකම් කුස්සිය ආම්පන්න සමඟ ගැස්,Lake View Holiday Home no 74 gamunupura mahagastota nuwaraeliya,Holiday bungalow,4,2
44,Nuwara eliya holiday home room, 4 Jul 12:50 pm,"Nuwara Eliya, Nuwara Eliya",750,"House,Double rooms,Family room",Seasonal room,6,6,
45,The Wood Cabana for Rent in Nuwaraeliya, 3 Jul  2:14 pm,"Nuwara Eliya, Nuwara Eliya","2,500",02 bedrooms01 bathroom with hoteaterPublick parkingBalcony pantry Tv hall Dubble room 2500Full cabin 500005 person can accomadate comfy,No70 Mahinda Mawatha Hawaeliya,Apartment,2,1
46,Family Room with Bathroom - Nuwaraeliya, 3 Jul 10:00 am,"Nuwara Eliya, Nuwara Eliya","2,000","Room No 01.Family room with Bathroom Hotshower,2000/= 4 person can sleep,2800/= With Breakfast,4000/= Dinner, Breakfast,",Lake View Holiday Home,Seasonal room,2,1
47,Holiday Home with 2 Bathroom - Nuwara eliya, 2 Jul  9:17 pm,"Nuwara Eliya, Nuwara Eliya",800,"4 Bedroom House2 Bathroom with Hotshower,Kitchen with GasT. V",Lake View Holiday Home no 74 gamunupura mahagastota nuwaraeliya,Holiday bungalow,4,2
48,Luxury Container Room in - Nuwaraeliya, 2 Jul  6:29 pm,"Nuwara Eliya, Nuwara Eliya","5,000",$$ THIS IS A UNIQUE EXPERIENCE WHERE YOU WILL STAY LIKE YOUR OWN PLACE.,"No 40, Gemunu Mw, Hawa Eliya, Nuwara Eliya",Seasonal room,1,1
49,Holiday Apartment for Rent in Nuwara Eliya, 2 Jul  8:23 am,"Nuwara Eliya, Nuwara Eliya","12,000",~~~~~~ Welcome to Nuwaraeliya ! ~~~~~~~,Nuwaraeliya,Apartment,2,2
50,Holiday Bungalow for Rent in Nuwara Eliya, 2 Jul  8:18 am,"Nuwara Eliya, Nuwara Eliya","29,000",~~~~~~ Welcome to Nuwaraeliya ! ~~~~~~~,"Toppass,Nuwaraeliya",Holiday bungalow,5,5
51,Holiday Bungalow for Rent in Nuwara Eliya,10 Jul  2:07 pm,"Nuwara Eliya, Nuwara Eliya","3,000","Welcome to Livi BungalowFive bedroomsFour bathroomsLiving,Dinning and Kitchen areaHot waterCaretakerFree parkingPeo TVMin bar areaGardenBBQ facilitiesTo see more photos or details type-Livi Bungalow on Google.","35/27 rose garden katumana, Nuwara Eliya",Holiday bungalow,5,4
52,Luxury Holiday Bungalow for Rent in Nuwara Eliya, 2 Jul  8:12 am,"Nuwara Eliya, Nuwara Eliya","24,000",~~~~~~ Welcome to Nuwara Eliya ! ~~~~~~~,Nuwaraeliya,Holiday bungalow,4,4
53,Luxury Holiday Apartment for Rent in Nuwara Eliya, 2 Jul  8:04 am,"Nuwara Eliya, Nuwara Eliya","25,000",~~~~~~ Welcome to Nuwaraeliya ! ~~~~~~~,"No-C/3, Toppass, NuwaraEliya., Nuwara Eliya",Holiday bungalow,5,5
54,Family Room with Bathroom - Nuwara Eliya, 1 Jul  2:36 pm,"Nuwara Eliya, Nuwara Eliya",750,"2 Double Beds with Bathroom Hotshower, ",Lake View Holiday Home,Seasonal room,2,1
55,Silver Candy Inn In Nuwara Eliya, 1 Jul  2:10 pm,"Nuwara Eliya, Nuwara Eliya","3,000","Four bed rooms with attached bathrooms. Three rooms with triple beds and one family room with triple bed + single bed. All the beds are with spring mattresses. Hot water for all bathrooms. Available vehicle parking space for four vehicles. Equipped kitchen available for self-cooking (refrigerator, barbecue (BBQ) machine). Situated Just 500 METERS from center of the Nuwara Eliya town. Less than five minutes to drive. Situated near to the Piduruthalagala entrance. Newly constructed guest house and in good condition. Rs. 3000/= per room OR Rs. 10000/= for whole guest. Quite and Calm environment.  Ideal for birthday and other celebrations.  SURE,,,  YOU WILL ENJOY YOUR FREEDOM. --- OUR EFFORT IS YOUR COMFORT ---Google map link:---https://goo.gl/maps/wq2zr4o8FVt1.5 KM to Gregory Lake1 KM to Victoria Park1 KM to Galways land National Park200 Meters to Piduruthalagala entrance7 KM to Moon plains8 KM to Haggala Botanical Gardens2 KM to Single Tree Mountain7 KM to Seethe Amman Kovil","No: 59, Gamunu Mawatha, Nuwara Eliya.",Holiday bungalow,4,4
56,Holiday Bungalow Nuwara Eliya,20 Jun  2:05 pm,"Nuwara Eliya, Nuwara Eliya","15,000","The very best Place For a Holiday In Nuwara Eliya______Holiday Inn______Set amidst rolling hills and tea plantations with a peaceful,calm & quiet , romance surrounding. "" Forest Edge Holiday Inn"" is the answer to enjoy your holiday.if you are looking for a personalized & unique service based holiday come to us.Easy access to Victoria park , Gregory Lake & Race course , Restaurants , Banking facilities.Hearty hospitality is a remained for you to make your holiday with a refreshing experience and with a unique service.For your comfort,- 7 Bed rooms with attached bathrooms.- Dining Room- BBQ- Kitchen- TV and Facility.- Car parking- Small Garden area with From "" Holiday Inn ""* 1 km to Nuwara Eliya Town* 1.5 km to Piduruthalagala Mountain* 5 km to Hakgala","Underbank, Nuwara Eliya",Holiday bungalow,7,7
57,Room for Rent in Nuwara Eliya, 3 Jul 11:19 am,"Nuwara Eliya, Nuwara Eliya","1,000",*ACCOMMODATION FOR 50-60 GUESTS AT ONCE*SPECIAL OFFERS FOR FULL BOOKINGS!        1)  WEEKDAYS                           - Rs 25000/= UPWARDS         2) WEEKENDS AND HOLIDAYS - Rs 35000/= UPWARDS,"Walimada road, Nuwara Eliya",Holiday bungalow,10+,10+
58,Budget Room for 4 Pax - Nuwara Eliya, 1 Jul  6:44 am,"Nuwara Eliya, Nuwara Eliya","2,500","walking distance to nuwaraeliya city, Near by Araliya hotelFour beds with shared bathroom with hot and cold water showersIdeal for budget travelers or boys group(Room No 305)Contact us for more info","Glen fall lane,Nuwaraeliya",Seasonal room,1,1
59,Family Room - Nuwara Eliya, 1 Jul  6:30 am,"Nuwara Eliya, Nuwara Eliya","4,500",in between nuwaraeliya city and gregory lakeOpposit Araliya green hillsAmple parking spaceSpecious well maintain garden  spaceMeals availableDouble / Triple / Family rooms or whole bungalowContact us for more info,"Glen fall lane,Nuwaraeliya",Seasonal room,4,4
60,Nuwaraeliya Rooms Near Race Course,30 Jun 10:22 am,"Nuwara Eliya, Nuwara Eliya","1,250",Budget Rooms in Nuwaraeliya.Very close to the race course and 500 meters from Gregory Lake and town. Suitable for budget guests to stay. Attached bathroom with hot water. Parking facility available. Can arrange vehicles and tours at low rates.Rs.1250/,Holiday bungalow,2,2,
