,0,1,2,3,4,5,6,7,8
43,Luxury Apartment for Sale - Col 3,28 Jun 10:41 am,"Colombo 3, Colombo","70,000,000",Brand new apartment for sale 3 bathrooms 2 bathrooms swimming pool gym a/c hot water sqft 1135 immediately sale price 700 lakhs please no brokers,duplication road colombo 3,3,2,"1,135 sqft"
44,Apartment for sale in Maharagama,10 Jun  6:31 pm,"Colombo 3, Colombo","20,000,000","Apartment sale in Maharagama, 1st floor B  3 Bed rooms, AC,Pantry, Cooker and top hood, Hot water for master Bed, Tele,wifi, Servant Room & servant Bathroom, parking facility","High level road , Maharagama",2,2,"1,200 sqft"
45,2 Bedroom Luxury Apartment for Sale in Monarch., 6 Jun  1:16 am,"Colombo 3, Colombo","68,000,000",STRICTLY NO AGENT PLS.,"MONARCH APARTMENT,  COLOMBO 3",2,2,"1,350 sqft"
46,2 Bedroom Luxury Apartment for Sale in Monarch Col 03, 5 Jun  2:00 am,"Colombo 3, Colombo","68,000,000",STRICTLY NO AGENT PLS.,"MONARCH APARTMENT,  COLOMBO 3",2,2,"1,350 sqft"
47,Apartment for Sale in Glen Arber Place Colombo 3, 1 Jul  2:23 pm,"Colombo 3, Colombo","35,000,000","Centrally located on a 30 ft wide road (Glen Arber Place), which connects Galle Road and Marine Drive. Close proximity to all schools, super markets, banks, shopping malls, restaurants and five star luxury hotels etc.",Glen Arber Place Colombo 3,3,3,"1,400 sqft"
48,Apartment for Sale at Fairway Elements - Rajagiriya, 2 Jul  6:24 pm,"Colombo 3, Colombo","45,000,000","Apartment for SALE  at Fairway Elements, Rajagiriya.* 1700 Square Feet* 3 Bedrooms* 3 Washrooms* Powder room* Domestic quaters* 24th Floor and above * Fully equipped kitchen. ","Buthgamuwa Road, Rajagiriya",3,3,"1,700 sqft"
49,Luxury Furnished Apartment For Sale In Galle Road Colombo 3, 4 Jul  3:45 am,"Colombo 3, Colombo","69,000,000","LUXURY APARTMENT FOR SALEPLATINUM ONE SUITESGalle Road, Colombo 3Opposite Marino Mall","Galle Road, Colombo 3",3,2,"1,500 sqft"
50,Sea View - Luxury Apartment in Colombo 3, 1 Jun  6:18 am,"Colombo 3, Colombo","39,500,000",Luxury Apartment with sea view from both Master BR and Living Room is now available for sale at a unbeatable price. ,Colombo 03,3,2,"1,566 sqft"
51,Apartment for Sale in Iceland Residencies Colombo 03,30 Jun  9:40 am,"Colombo 3, Colombo","110,000,000",Apartment for Sale in Iceland Residencies Colombo 03============================================,"Iceland Residencies, Colombo 03",3,3,"2,050 sqft"
52,Apartment for Sale - Col 3,28 Jun  2:51 pm,"Colombo 3, Colombo","60,000,000",Car park with regular facilities,kollupitiya,4,4,"1,800 sqft"
53,Apartment for Sale - Col 8,28 Jun  2:51 pm,"Colombo 3, Colombo","45,000,000",Car park with regular facilities,colombo 3,4,3,"1,800 sqft"
