,0,1,2,3,4,5,6,7,8
47,Studio Type Apartment for Rent in Col-6,17 Jul  8:59 pm,"Colombo 6, Colombo","90,000","This Studio unit is located in Mayura Place in Colombo 6 (Wellawatte), with easy access to other parts of the city and all the amenities.",Mayura Place Colombo 6,1,1,750 sqft
48,Apartment for Rent in Colombo 6 (519 B/2),13 Jul  4:35 pm,"Colombo 6, Colombo","100,000",One bedroom with one bathroom 700 Square feetFully A/CGymFully furnishedLiving room with pantry   Two lifts24 hours securityTotally 48 apartments RestaurantCommon function areaOne car parking   ,HAVELOCK ROAD,1,1,700 sqft
49,Apartment for Rent in Colombo 06 (519 B/1),13 Jul  4:26 pm,"Colombo 6, Colombo","145,000",Two bedroom with two bathroom ( one attached and one common )1000 Square feetFully A/CGymFully furnishedLiving room with pantry   Two lifts24 hours securityTotally 48 apartments RestaurantCommon function areaOne car parking   ,HAVELOCK ROAD,2,2,"1,000 sqft"
50,Apartment for Rent in Colombo 6 (519 B),13 Jul  4:06 pm,"Colombo 6, Colombo","155,000",Three bedroom with two bathroom ( one attached and one common )1200 Square feetFully A/CGymFully furnishedLiving room with pantry   Two lifts24 hours securityTotally 48 apartments RestaurantCommon function areaOne car parking   ,HAVELOCK ROAD,3,2,"1,200 sqft"
51,2BR Colombo Apartment in Col 6,19 Jul  3:41 pm,"Colombo 6, Colombo","125,000",The apartments are tastefully furnished including fully equipped kitchen.,"Harmer's Avenue,colombo-06",2,2,950 sqft
52,Apartment for Rent in Colombo - 06,19 Jul  3:41 pm,"Colombo 6, Colombo","125,000",The apartments are tastefully furnished including fully equipped kitchen.,"Harmer's Avenue,colombo-06",2,2,950 sqft
53,3BR Apartment in Colombo 6,19 Jul  3:41 pm,"Colombo 6, Colombo","140,000",The apartments are tastefully furnished including fully equipped kitchen.,COLOMBO-06  W.A.SILVA MAWATHA  NO:-202,3,2,"1,550 sqft"
54,3BR Apartment in Colombo 6,19 Jul  3:42 pm,"Colombo 6, Colombo","110,000",The apartments are tastefully furnished including fully equipped kitchen.,"Harmer's Avenue,colombo-06",2,1,950 sqft
55,2BR Apartment in Colombo 6,19 Jul  3:42 pm,"Colombo 6, Colombo","110,000",The apartments are tastefully furnished including fully equipped kitchen.,COLOMBO-06 STATION ROAD   NO:-12B,2,2,950 sqft
56,Havelock City Apartment for Rent - 3 Bedroom Fully-Furnished col-06,28 Jun 11:26 am,"Colombo 6, Colombo","280,000",Unit Type:-	3 Bedrooms-	1 Attached Bathroom | 1 Common Bathroom-	Living | Dining | Fully Fitted Pantry Kitchen-	Balcony - Views -  | Greenery | Club House | Swimming Pool-	Maid Rest Room/Utility Room & Maid’s Toilet,3,2,"1,496 sqft",
57,Apartment for Rent in Colombo 06 (649 B/1), 2 Jul  1:33 pm,"Colombo 6, Colombo","100,000",Apartment on 6th floor available with three bedrooms and three bathrooms (two attached and one common bathrooms)1800 square feet ,KIRULAPONE,3,3,"1,800 sqft"
58,Apartment for Rent in Colombo - 06,13 Jul 10:05 am,"Colombo 6, Colombo","100,000","*** NO BROKERS*** New Unfrnished Apartment For Rent.*** Furnished - 150000*** Unfurnished - 100000*** 3 Bed Rooms ( Fully air-condition )*** 2 Bath Rooms ( 1 attached, 1 common bathroom )*** Sea view*** 24 hours Security service*** One Vehicle parking*** Swimming pool*** Prefer for Maldivians and locals*** 6-month deposit ( negotiable )*** Maintenance fee 8000*** HALF MONTH AGENT FEE",Wellawatta,3,2,"1,290 sqft"
59,3BR Apartment for Rent in Colombo-6,19 Jul  3:44 pm,"Colombo 6, Colombo","135,000","COLOMBO APARTMENTS offers Fully Furnished 3Room Apartments for short and extended/long stay. All the Apartments are a Fully Furnished including a Fully Equipped Kitchen.1------------------------------------------------------------------------------------ ■ 3Rooms-1 Attached and 1 Common Bathroom. ■ Living and Dining Area. Fully Air conditioned.■  Wi-Fi, Gas, Water and International TV Channels.■ 24 Hours Security and Parking.■ Parties, wedding inculding.  PER DAY7500/- ELE PERUNIT 50/- NOW CALL",46 Collingwood place Colombo 6,3,3,"1,300 sqft"
60,2BR Luxury Furnished Apt at Wellawatta,19 Jul  3:45 pm,"Colombo 6, Colombo","150,000","COLOMBO APARTMENTS offers Fully Furnished 2Room Apartments for short and extended/long stay. All the Apartments are a Fully Furnished including a Fully Equipped Kitchen.1------------------------------------------------------------------------------------ ■ 2Rooms-1 Attached and 1 Common Bathroom. ■ Living and Dining Area. Fully Air conditioned.■  Wi-Fi, Gas, Water and International TV Channels.■ 24 Hours Security and Parking.■ Parties, wedding inculding.  PER DAY7500/- ELE PERUNIT 50/- NOW CALL","11, 40th lane colombo-6",2,2,950 sqft
61,2BR Furnished Apartment in Colombo-6,19 Jul  3:45 pm,"Colombo 6, Colombo","110,000","COLOMBO APARTMENTS offers Fully Furnished 3Room Apartments for short and extended/long stay. All the Apartments are a Fully Furnished including a Fully Equipped Kitchen.1------------------------------------------------------------------------------------ ■ 2Rooms-1 Attached and 1 Common Bathroom. ■ Living and Dining Area. Fully Air conditioned.■  Wi-Fi, Gas, Water and International TV Channels.■ 24 Hours Security and Parking.■ Parties, wedding inculding.  PER DAY7500/- ELE PERUNIT 50/- NOW CALL",7/5 harmers Avenue colombo-6,2,2,750 sqft
62,Brand New Apartment for Rent - Colombo 06,13 Jul 10:59 am,"Colombo 6, Colombo","150,000","5th Floor. Fully Air Conditioned. Master bedroom with attached bathroom. Two more Rooms with common Bathroom. Two Balconies. Fitted Pantry. Cooker Hob, Cooker Hood and Oven will be provided. ","298, Prime Residencies, High Level Road, Colombo 06.",3,2,"1,168 sqft"
63,Apartment with Single Bedroom for Rent - Col 6,12 Jul  3:26 pm,"Colombo 6, Colombo","50,000","Apartment with Single Bedroom , Living Room, Dining and Kitchen",Marigold Apartment,1,1,450 sqft
64,B/New Apartment for Rent Colombo (6),12 Jul  1:49 pm,"Colombo 6, Colombo","150,000","3Rooms-1 Attached and 1Common Bathroom.5th Floor Apartment.1,425 sqftFully Furnished","36 . IBC Road, Colombo (6)",3,2,"1,425 sqft"
65,Apartment For Rent Colombo 6,12 Jul  1:11 pm,"Colombo 6, Colombo","85,000",Colombo 6 Wellwatta 2 bedrooms 1000 sqft car parking 75000.00 6 months advance,Colombo 6 Wellwatta,2,2,"1,000 sqft"
66,Apartment for Rent Colombo 6,12 Jul  1:10 pm,"Colombo 6, Colombo","100,000",Colombo 6 Wellwatta 3 bedrooms 1200 sqft car parking 100000.00 6 months advance,Colombo 6 Wellwatta,3,3,"1,200 sqft"
67,Apartment with Nice View for rent in Colombo 6 (001265),19 Jul  9:24 am,"Colombo 6, Colombo","95,000",Address -10 Ramakrishna Road Colombo 6,28 Ramakrishna Road Colombo 06,1,1,600 sqft
68,Brand New Apartment with Swimming Pool and Gym Col 6,12 Jul  9:15 am,"Colombo 6, Colombo","85,000",6month advance with car parking,col-6 wallawatthe,3,2,"1,100 sqft"
69,Apartment for Rent - Colombo.6,11 Jul  4:29 pm,"Colombo 6, Colombo","50,000",Apartment for Rent in col.6. Very close to Galle Road .6.months advance. 5th floor .lift parking available. Maintenance charge 5000 .posted by agent fee half months,Colombo.6,2,1,900 sqft
70,Apartment for Rent - Colombo 6,11 Jul  2:27 pm,"Colombo 6, Colombo","60,000",Apartment for Rent in col.6. Very close to Galle Road.6.month advance. Maintenance charge .5000. posted by agent half a month agent fee,Colombo. 6,3,2,"1,100 sqft"
71,Brand New Apartment for Rent -Col.6 furnished (69),11 Jul  1:59 pm,"Colombo 6, Colombo","130,000","•	3 Rooms-1 Attached and 1 Common Bathroom.•	5th Floor Apartment •	1,425 sqft•	Fully furnished","5/A - 36.IBC Rd, Colombo 06 *Sri lanka",3,2,"1,425 sqft"
72,Fully Furnished 3BHK Apartment For Rent in Colombo 06,11 Jul  1:48 pm,"Colombo 6, Colombo","100,000","Fully Furnished Spacious Apartment for Quick Rent In Arethusa Lane, Colombo-06","Arethusa Lane, Colombo 06",3,2,"1,150 sqft"
73,Apartment with Nice View for rent in Colombo 6 (001206),19 Jul  9:31 am,"Colombo 6, Colombo","95,000",Address -10 Ramakrishna Road Colombo 6,28 Ramakrishna Road Colombo 06,1,1,700 sqft
74,2BR Furnished Short and Long Col-6,19 Jul  3:55 pm,"Colombo 6, Colombo","100,000","COLOMBO APARTMENTS offers Fully Furnished 2Room Apartments for short and extended/long stay. All the Apartments are a Fully Furnished including a Fully Equipped Kitchen.1------------------------------------------------------------------------------------ ■ 2Rooms-1 Attached and 1 Common Bathroom. ■ Living and Dining Area. Fully Air conditioned.■  Wi-Fi, Gas, Water and International TV Channels.■ 24 Hours Security and Parking.■ Parties, wedding inculding.  - ELE PERUNIT 50/- NOW CALL",7/5 harmers Avenue colombo-6,2,2,750 sqft
