,Unnamed: 0.1,Location,Price,Beds,Baths,House Size,Land Size,h_l_ratio,Bed Size,beds_bath_ratio
93,250,1,7200000,2,1,950.0,6.0,0.5815733088460361,475.0,2.0
94,251,25,18500000,5,4,2600.0,9.7,0.9845408158435338,520.0,1.25
95,275,1,7900000,2,1,1300.0,12.0,0.3979185797367616,650.0,2.0
96,278,27,18000000,2,2,1500.0,11.25,0.4897459442913989,750.0,1.0
97,279,4,21000000,4,2,2500.0,16.0,0.5739210284664829,625.0,2.0
98,282,1,8000000,2,1,1200.0,10.0,0.44077134986225897,600.0,2.0
99,285,28,42500000,5,3,3500.0,17.0,0.7562253551558364,700.0,1.6666666666666667
100,299,28,30000000,4,3,315.0,6.0,0.19283746556473827,78.75,1.3333333333333333
101,302,28,19500000,4,4,2750.0,10.5,0.9620009620009621,687.5,1.0
102,309,26,6900000,2,1,650.0,3.5,0.6821461366915912,325.0,2.0
103,310,1,8700000,3,1,1100.0,6.0,0.6734006734006734,366.66666666666674,3.0
104,313,1,13400000,3,3,1750.0,7.0,0.9182736455463728,583.3333333333334,1.0
105,314,28,18000000,3,3,1800.0,7.13,0.9272889548294369,600.0,1.0
106,315,28,23000000,4,4,2300.0,11.0,0.7680106853660572,575.0,1.0
107,317,35,13000000,4,2,1600.0,11.5,0.5110392462171118,400.0,2.0
108,319,22,11000000,3,2,1600.0,8.3,0.7080664254815404,533.3333333333334,1.5
109,321,28,28800000,6,4,2850.0,12.0,0.8723599632690542,475.0,1.5
110,324,20,9300000,3,3,1410.0,10.5,0.493244129607766,470.0,1.0
111,330,35,16500000,4,3,2500.0,13.0,0.706364342727979,625.0,1.3333333333333333
112,331,32,15000000,2,1,1400.0,7.5,0.6856443220079583,700.0,2.0
113,335,29,3900000,3,2,2000.0,15.0,0.4897459442913989,666.6666666666666,1.5
114,336,35,8700000,2,2,1250.0,6.0,0.7652280379553106,625.0,1.0
115,338,38,12000000,3,2,1100.0,5.1,0.7922360863537335,366.66666666666674,1.5
116,347,29,7000000,2,1,1500.0,10.0,0.5509641873278237,750.0,2.0
117,348,28,27000000,3,2,1500.0,10.0,0.5509641873278237,500.0,1.5
118,361,28,12800000,3,3,1300.0,7.9,0.6044332856760934,433.33333333333326,1.0
119,362,20,5800000,2,1,720.0,6.0,0.44077134986225897,360.0,2.0
120,364,28,20000000,4,4,2500.0,10.0,0.9182736455463728,625.0,1.0
121,367,28,16000000,7,4,3000.0,21.0,0.5247277974550701,428.57142857142856,1.75
122,368,37,13500000,3,2,1600.0,6.0,0.9794918885827976,533.3333333333334,1.5
123,372,20,2800000,2,1,1200.0,5.8,0.7599506032107913,600.0,2.0
124,375,34,11000000,3,1,2000.0,9.3,0.7899128133732238,666.6666666666666,3.0
125,377,34,40000000,4,3,3800.0,22.0,0.6344436096502212,950.0,1.3333333333333333
126,384,35,9800000,3,2,960.0,10.0,0.3526170798898072,320.0,1.5
127,389,28,18500000,3,2,1950.0,8.0,0.8953168044077134,650.0,1.5
128,395,31,41000000,3,2,2600.0,11.0,0.8681859921529343,866.6666666666665,1.5
129,397,22,13000000,4,3,1900.0,10.0,0.6978879706152433,475.0,1.3333333333333333
130,398,33,5900000,3,1,1200.0,12.0,0.3673094582185492,400.0,3.0
131,399,34,21000000,4,3,2600.0,10.7,0.892527655484325,650.0,1.3333333333333333
132,402,25,13000000,3,2,1400.0,8.0,0.6427915518824611,466.66666666666674,1.5
133,405,25,11700000,3,2,1550.0,8.7,0.6544019083204037,516.6666666666666,1.5
134,407,34,12900000,3,2,1200.0,10.9,0.404377385194733,400.0,1.5
135,408,27,15500000,3,1,1500.0,10.8,0.5101520253035404,500.0,3.0
136,409,30,23000000,5,5,2500.0,11.6,0.7916152116779076,500.0,1.0
137,411,1,7500000,3,2,1050.0,6.0,0.6427915518824611,350.0,1.5
138,413,25,9700000,3,2,1100.0,7.4,0.546000546000546,366.66666666666674,1.5
139,416,19,11000000,5,2,1100.0,12.0,0.3367003367003367,220.0,2.5
140,420,3,12500000,3,2,1400.0,10.0,0.5142332415059687,466.66666666666674,1.5
141,429,4,21000000,5,3,2500.0,9.8,0.9370139240269107,500.0,1.6666666666666667
142,432,25,20000000,4,4,2100.0,10.1,0.7637127349098546,525.0,1.0
143,433,25,15500000,3,3,1645.0,7.0,0.8631772268135904,548.3333333333334,1.0
144,437,28,16500000,3,2,1550.0,10.0,0.5693296602387512,516.6666666666666,1.5
145,444,34,13000000,3,3,1650.0,8.5,0.7130124777183601,550.0,1.0
146,447,27,33000000,8,3,2850.0,15.0,0.6978879706152433,356.25,2.6666666666666665
147,448,37,11000000,2,1,900.0,7.1,0.4656035385868933,450.0,2.0
148,450,32,35000000,5,3,2500.0,10.0,0.9182736455463728,500.0,1.6666666666666667
149,452,27,8000000,3,1,1950.0,9.0,0.7958371594735231,650.0,3.0
150,456,1,8700000,3,1,1100.0,7.0,0.5772005772005773,366.66666666666674,3.0
151,463,3,15800000,3,2,1850.0,10.0,0.6795224977043158,616.6666666666666,1.5
152,465,27,18000000,3,3,1950.0,8.0,0.8953168044077134,650.0,1.0
153,467,34,21000000,4,3,2100.0,8.8,0.8765339343851739,525.0,1.3333333333333333
154,469,28,15500000,3,2,1700.0,10.0,0.6244260789715336,566.6666666666666,1.5
155,472,28,29000000,4,3,2650.0,12.0,0.8111417202326293,662.5,1.3333333333333333
156,475,28,13000000,3,1,1800.0,10.0,0.6611570247933884,600.0,3.0
157,476,2,8500000,4,2,2500.0,98.0,0.0937013924026911,625.0,2.0
158,477,33,6000000,3,2,1650.0,9.64,0.628693574751666,550.0,1.5
159,478,38,14300000,2,1,1000.0,10.0,0.3673094582185491,500.0,2.0
160,485,39,13500000,6,4,1500.0,9.0,0.6121824303642485,250.0,1.5
161,493,20,5500000,3,1,1500.0,20.0,0.27548209366391185,500.0,3.0
162,494,28,30000000,5,4,3500.0,16.0,0.8034894398530762,700.0,1.25
163,497,34,14500000,3,1,1200.0,16.3,0.27041187108114045,400.0,3.0
164,499,35,5500000,1,1,850.0,6.5,0.4803277530550258,850.0,1.0
165,500,20,5500000,3,1,600.0,15.0,0.14692378328741965,200.0,3.0
166,501,28,19500000,4,4,2650.0,10.5,0.9270191088372908,662.5,1.0
167,504,35,9500000,3,1,1600.0,10.0,0.5876951331496786,533.3333333333334,3.0
168,505,4,27500000,4,2,1200.0,8.0,0.5509641873278237,300.0,2.0
169,507,29,12500000,3,1,1200.0,6.0,0.7346189164370983,400.0,3.0
170,509,22,12500000,3,3,2000.0,8.0,0.9182736455463728,666.6666666666666,1.0
171,513,37,16500000,6,3,3000.0,12.0,0.9182736455463728,500.0,2.0
172,514,29,10500000,2,1,1000.0,7.1,0.5173372650965481,500.0,2.0
173,520,35,21500000,5,3,3500.0,24.0,0.5356596265687175,700.0,1.6666666666666667
174,521,34,8800000,4,2,1300.0,8.0,0.5968778696051423,325.0,2.0
175,522,29,17500000,5,4,2600.0,10.5,0.909528182255455,520.0,1.25
176,523,1,8000000,3,2,1000.0,6.8,0.5401609679684546,333.3333333333333,1.5
177,536,22,10500000,3,2,1500.0,8.3,0.6638122738889441,500.0,1.5
178,539,22,13000000,4,3,1600.0,11.5,0.5110392462171118,400.0,1.3333333333333333
179,541,22,10000000,2,2,1240.0,6.0,0.7591062136516681,620.0,1.0
180,542,35,11800000,3,2,1500.0,6.5,0.8476372112735748,500.0,1.5
181,545,20,17000000,4,3,3000.0,16.25,0.6781097690188599,750.0,1.3333333333333333
182,547,19,16900000,3,2,2700.0,28.0,0.3541912632821724,900.0,1.5
183,548,38,13500000,4,3,1850.0,7.0,0.9707464252918798,462.5,1.3333333333333333
184,551,35,22000000,4,4,1130.0,8.3,0.5000719129963379,282.5,1.0
185,555,25,14000000,3,2,1288.0,8.0,0.591368227731864,429.33333333333326,1.5
186,560,19,15000000,3,1,2034.0,14.7,0.5082363523921966,678.0,3.0
187,562,27,15500000,4,2,1300.0,6.8,0.702209258358991,325.0,2.0
188,564,25,14000000,3,1,1950.0,18.5,0.3871640235276599,650.0,3.0
189,565,21,19000000,4,2,2000.0,14.0,0.5247277974550701,500.0,2.0
190,566,1,4600000,2,1,1144.0,10.0,0.4202020202020201,572.0,2.0
191,567,13,6300000,2,1,1000.0,6.9,0.5323325481428248,500.0,2.0
192,568,3,30000000,4,2,2200.0,13.0,0.6216006216006217,550.0,2.0
193,570,37,18000000,3,2,2450.0,10.0,0.8999081726354454,816.6666666666665,1.5
194,572,21,6700000,3,1,1200.0,12.0,0.3673094582185492,400.0,3.0
195,574,22,6900000,2,1,1000.0,9.3,0.3949564066866119,500.0,2.0
196,576,3,42000000,5,3,2800.0,15.0,0.6856443220079583,560.0,1.6666666666666667
197,579,25,26000000,4,2,2700.0,13.0,0.7628734901462175,675.0,2.0
198,581,27,27500000,4,4,2000.0,8.0,0.9182736455463728,500.0,1.0
199,582,1,7900000,3,2,1500.0,6.0,0.9182736455463728,500.0,1.5
200,583,13,10000000,3,1,1500.0,10.0,0.5509641873278237,500.0,3.0
201,587,28,16200000,4,1,1800.0,13.5,0.4897459442913989,450.0,4.0
202,593,32,21000000,3,3,1300.0,17.0,0.2808837033435964,433.33333333333326,1.0
203,594,34,18000000,3,3,2700.0,14.0,0.7083825265643447,900.0,1.0
204,595,25,12500000,3,3,1650.0,8.5,0.7130124777183601,550.0,1.0
205,596,25,16500000,3,2,2027.0,14.3,0.5206547355307686,675.6666666666666,1.5
206,597,20,34000000,4,1,2000.0,60.0,0.12243648607284972,500.0,4.0
207,599,1,9975000,4,2,2200.0,11.23,0.7195732930372291,550.0,2.0
