,0,1,2,3,4,5,6,7,8
28,1 Bed Room Apartment For Rent - Colombo 06 (APT001512),20 Jul  3:24 pm,"Colombo 6, Colombo","95,000","*Address -	28 Ramakrishna Road Colombo 06*Access - Galle road*Rent - 95000\=*Sqft - 700*Floor- 9*Bedrooms - 1*Bathrooms - 1*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 month*Advance - 6 month*Facilities - Parking , Lift , Generator, Hot water,24/h",28 Ramakrishna road Colombo 06,1,1,700 sqft
29,Havelock City Apartment for Rent - 3 Bedroom Fully-Furnished col-06,28 Jun 11:26 am,"Colombo 6, Colombo","280,000",Unit Type:-	3 Bedrooms-	1 Attached Bathroom | 1 Common Bathroom-	Living | Dining | Fully Fitted Pantry Kitchen-	Balcony - Views -  | Greenery | Club House | Swimming Pool-	Maid Rest Room/Utility Room & Maid’s Toilet,3,2,"1,496 sqft",
30,Apartment for Rent (Sea View) - Colombo 06,15 Jul 11:40 am,"Colombo 6, Colombo","110,000","Luxury 3 bedroom and 2 bedroom fully furnished two Apartments in the heart of Colombo. Centrally located at Ramakrishna Road, (50 meters from Galle Road), Colombo 06 with full sea view. Fully Air Conditioned, Hot water, 2 large Swimming Pools, Gym, Rooftop Garden, 24 hour security, Car parking, 4 high speed Lifts and emergency electricity Generator. Enjoy the splendid sunset and breeze every day in your bedroom. Take a walk along the Indian Ocean & Galle Road which is just a few steps away.",Ramakrishna road Colombo 06,3,2,"1,250 sqft"
31,2 Bed Room Apartment (APT001511) - Dehiwala,20 Jul  3:23 pm,"Dehiwala, Colombo","95,000","Address -winser avanue*Access - Galle road*Rent - 95000*Sqft - 1000*Floor- *Bedrooms -2*Bathrooms - 2*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",D Alwis Mawatha Dehiwala,2,2,"1,000 sqft"
32,Ethulkotte - 3 BR Apartment for Rent,16 Jul  2:54 pm,"Kotte, Colombo","85,000","3BR  apartment for rent. First Floor, Two dry bath rooms with hot water.Air conditioned rooms. Parking. CCTV system,  Very close to Ethulkotte junction, Keels , FoodCity, Diyatha walking track.LKR 85000 per month. LKR 350000 refundable deposit.Elevator can be provided on a facility fee.","875/1/1A, Kotte Road, Ethul Kotte",3,2,"2,000 sqft"
33,Brand New Modern Apartment at Thalawathugoda,20 Jul  2:31 pm,"Talawatugoda, Colombo","45,000","A brand new modern apartment equipped with 2  bed rooms (13' x 12' & 12.5' x 10'),  one bathroom, a sitting and dining area,  pantry and a car port  is available for rent.  It is located on a  side road (First turn to left ) on Weli Para,  in lose proximity (walking distance) to  Thalawathugoda Junction, Keels supermarket and other shops. The apartment is designed to capture adequate light and breeze from close by lakes and decorated to modern taste.",2,1,880 sqft,
34,Apartment for Rent in Colombo 8 (753B),20 Jul  2:29 pm,"Colombo 8, Colombo","125,000",Four story buildingOne bedrooms with one attached bathroom900 square feet,FAIRFEILD GARDEN,1,1,900 sqft
35,Apartment for Rent in Colombo 04 (596 B),20 Jul  1:53 pm,"Colombo 4, Colombo","150,000",4th floor with Three Bedrooms and Two attached Bathrooms1050 sqft  ,SEA SIDE,3,2,"1,050 sqft"
36,Apartment For Rent in Havelock City Colombo 5,20 Jul  1:43 pm,"Colombo 5, Colombo","230,000","- 2 bedrooms and 2 bathrooms - maids room and toilet- 1300 sqft- Pantry fitted kitchen with all necessary amenities- Hot water/ Main water- Three (3)phase electricity- Back up electricity ( generators)- Internet access.- Servant room/Servant Toilet with separate access.- One parking slots.- Central gas supply- Breathtaking landscape- Lush green garden- Jogging track, children's play area- Clubhouse with Swimming Pool-Jacuzzi, Squash Court, Gym- Ample parking for visitors- Price is 230,000/- per month",2,2,"1,300 sqft",
37,Short/Long Term Apartment for Rent.- Kohuwala,20 Jul  1:50 pm,"Kohuwala, Colombo","25,000",* 1 Large Bedroom.* Fully Furnished.* Balcony.* Small Kitchen with Utensils.* Hot Water.* Cable TV.* Quite Environment.,Vishnu Kovil Road,1,1,650 sqft
