,0,1,2,3,4,5,6,7,8
33,Ground Floor Apartment for Rent - Udahamulla,15 Jun  1:19 pm,"Nugegoda, Colombo","60,000","Newly Finished Apartments in Udahamulla, Situated in a calm Area,Separate Car Parking Facility and Separate EntranceMain Hall, Dining Area with PantryCurtains done fully for the house4 Rooms, 1 Master Bedroom with attached Bathroom1 Separate Bathroom for other Rooms1 Servant BathroomHot Water ShowerSeparate water & electricity Bills6 Months Key Money RequiredHot Water Shower","51/7B, 1st Lane, Kumubuk Gaha Pokuna Road, Udahamulla",4,3,"2,000 sqft"
34,Apartment for Rent in Nugegoda, 8 Jul  1:02 pm,"Nugegoda, Colombo","180,000","Kotte Road - Nugegoda Apartment For rent - Close to Nagawiharaya temple, Brand new apartment in Higher floor,3 bedrooms, 2 bathrooms, Servant room and toilet, Modern facilities, unfurnished, Swimming pool, Gym, Clubhouse, Rooftop area with BBQ area, 2 parking space, City view, Rent is Rs.180,000/= per month",3,2,"1,400 sqft",
35,Prime Residencies - Panadura, 8 Jun  1:01 pm,"Nugegoda, Colombo","40,000",Two bed room apartment in Prime Residencies close to Lyceum International School in Walana Panadura and Base Hospital,Panadura,2,2,756 sqft
36,Luxury Fully Furnished Apartment for Rent - Nugegoda,28 Jun 10:43 am,"Nugegoda, Colombo","125,000",Luxury apartment for rent 3 bedrooms 3 bedrooms sqft 1550 fully furnished fully a/c hot water monthly rent 125000 advance 4 month half month broker fees please no brokers,abuldeniya nugegoda,3,3,"1,600 sqft"
37,Brand New Apartment for Rent Nugegoda, 8 Jul  1:02 pm,"Nugegoda, Colombo","180,000","Property Details.Kings View Apartment - Brand new unfurnished apartment, Higher floor, 1400 sqft, 3 bedrooms with 2 bathrooms, servant room and toilet, Livin and dining area with a nice city view, open Pantry, Fully A/C, 2 Lift, Swimming pool And Gym, Rooftop terrace with BBQ facilities, Common Meeting room,2 parking, Main Road Access, Asking Price is Rs.180,000/= per month",Kotte road Nugegoda,3,2,"1,400 sqft"
38,Apartment for Rent in Nugegoda,20 Jul 11:32 am,"Nugegoda, Colombo","57,500",Apartment for Rent in 1st Floor,"""Nelum Court"" 75 Kandewatta Road, Nugegoda",3,3,"1,272 sqft"
39,Apartment for Rent in - Nugegoda, 5 Jun 12:59 pm,"Nugegoda, Colombo","70,000",Air Conditioned 02 Bed roomed Fully Furnished Apartment with All Amenities + Garage Parking Available for Working Couple or Two Professionals Ladies on Short / Long  Term Basis,NUGEGODA,2,1,"1,550 sqft"
40,Fully Furnished Annex for Rent - Nugegoda, 7 Jun  3:44 pm,"Nugegoda, Colombo","60,000","Upstairs House for Rent in Nugegoda, Udahamulla.",1,1,700 sqft,
41,Apartment for Rent Nugegoda,28 Jun  2:51 pm,"Nugegoda, Colombo","65,000",Fully furnished equipped close to lyceum international school,melda place nugegoda,2,2,"1,500 sqft"
42,3 Bed Room Fully Furnished Brand New Apartment for Rent in Colombo 06, 1 Jun 11:08 am,"Nugegoda, Colombo","110,000","3 Bed room  fully furnished brand new apartment for rent in Colombo 06 Rent : Rs 110,000 per month – NegotiableAdvance :  6 Months Negotiable",3,2,"1,350 sqft",
43,Multi Story Houses for Rent in Nugegoda,31 May 10:44 am,"Nugegoda, Colombo","65,000","Newly built luxury three story building with 3 apartments, Near Sri Jayawardenepura Hospital Junction, Temple Road, Thalapathpitiya, Nugegoda. Detail of each floor - 1st floor having 3 rooms with attached bathrooms, Pantry, Sitting , Dinning , TV lobby & Three balconies And 2nd floor having with 3 rooms with attached bathrooms , Pantry , Sitting , Dinning , TV Lobby and leisure deck with balconies. Ground floor having 2 rooms with attached bathrooms, big hall, pantry and back yard, suitable for multiple purpose either Residence","Temple Road, Thalapathpitiya, Nugegoda",3,2,"1,200 sqft"
44,Fully Furnished Apartment for Rent - Nugegoda,29 May 12:34 pm,"Nugegoda, Colombo","125,000","Fully furnished Apartment for rent 3 bedroom ,3 Bath room A/C Hotwater","Embuldeniya,Nugegoda",3,3,"1,550 sqft"
45,3 Bed Rooms Apartment for Rent in Nugegoda.,27 May  4:11 pm,"Nugegoda, Colombo","88,000",3B/R Apartment Quick Rent in Nugegoda. Elbert Perera Road. 50 meters to Nawala Main Rd,"Nugegoda, Elbert Perera Road.",3,2,"1,150 sqft"
46,Apartment for Rent in - Nugegoda,26 May  9:48 pm,"Nugegoda, Colombo","50,000","Ground Floor Annex with Separate Entrance in A Highly Residential Area. Fully Tiled with 2 Bed Rooms, Living and Dining Area, Pantry, One Bathroom, One Servant's Bathroom and An Open Garage in A Spacious Garden. Ideal for A Small Family.",Jeswell Place Mirihana Nugegoda,2,1,900 sqft
47,Brand New Apartment for Rent in Nugegoda (882 B/1 ),25 May  2:21 pm,"Nugegoda, Colombo","130,000",3rd floor availableThree bedrooms with one attached one common bathrooms1250 square feet  ,HIGH LEVEL ROAD,3,2,"1,250 sqft"
48,Brand New Apartment for Rent in Nugegoda (882 B),25 May  2:19 pm,"Nugegoda, Colombo","175,000",2nd Floor availableThree bedrooms with Two Bathrooms (one attached and one common)1250 square feet ,HIGH LEVEL ROAD,3,2,"1,250 sqft"
49,3 Bedroom Brand New - Modern Apartment for Rent in Mirihana – Nugegoda,25 May 10:22 pm,"Nugegoda, Colombo","125,000","* Fully Air-Conditioned Apartment,  2200 Sq.Feet * Ideal for foreigners, expatriates or locals* 3 Bedrooms with attached washrooms* Separate guest washroom* Fully-fitted pantry along with 4 burner cooker/oven & cooker-hood* Hall/Sitting/Dining - fitted with 24000BTU Air-conditioner* Private Balconies for all 3 rooms & for dining (4 Balconies in all)* Allocated 2 car-park** This is a Triplex Apartment with Private Fully tiled stair-case from  Main door entrance to roof-top ( 4 Floors in all for this Apartment House) * 2 Private Roof-top areas facing road view & complex view* Wired for SLT, PEO & Dialog TV* All toilets with shower-cubicles, hot water geysers, Mirror cabinets, sink with enclosed cabinets & modern fittings* Fire Extinguisher* 1000L water tank + fitted Pressure pump ","Quarry Road, Mirihana - Nugegoda. [Just 50 meters from Main road- old kottawa road]",3,4,"2,200 sqft"
